,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
1533,1.8524674682528912e-06,-7.396880709937143,1694.311266554601,1727.387611409822,1876.2318095684248,1892.7477954011472,1909.3309313644954,1925.8446335776034,2421.980500815206,2438.525316452227,2620.4413881047844,-3.7768765915231883,0.02289408745439227,0.45910426739443805,0.12104227183253347,0.13407692999180743,-2.03914252146551,0.13014025552360642,16.538006989186393,1694.312652930955,0
1534,1.6334419017296127e-06,-7.401732391311059,1694.3104335202972,1727.388422860332,1876.2294886782465,1892.767314184937,1909.3325482534672,1925.8427264957131,2421.9789714005615,2438.5082191807464,2620.4429911729594,-3.7323492918517287,0.023936535821455794,0.5377805622533463,0.3466771736339427,0.2781115399367622,-2.034034584606113,0.1308067043719787,16.53784926221992,1694.3160901211045,0
1535,8.694910487179256e-06,-7.415309187714136,1694.3162003132575,1727.3857542156522,1876.2316472666234,1892.7485622088077,1909.3325253122837,1925.8488396519854,2421.9802874452125,2438.517647068875,2620.4388337515265,-3.738747833539453,0.023783865852598285,0.5354661426770072,0.15885355095540876,0.28859778328951835,-2.045051899054684,0.12937347544205693,16.537891945997472,1694.3150648747462,0
1536,1.2161258759415187e-05,-7.416222338356546,1694.3166044451475,1727.384871569257,1876.2319526844194,1892.7510355399177,1909.330527550495,1925.8475772019085,2421.9809526320973,2438.516575145897,2620.439454230175,-3.73755976810113,0.02381213943371406,0.7454860390729647,0.2153325976180136,0.19820794293528943,-2.0436302568265106,0.129557529036133,16.537897720334925,1694.3148555659259,0
1537,2.371609540709691e-06,-7.4046890685799385,1694.3139473463555,1727.3874663953686,1876.2366521469094,1892.7553091620107,1909.3329121688378,1925.8468636958896,2421.980784477008,2438.520765765363,2620.440602930612,-3.7402090986669294,0.023749136699261396,0.3272411159511798,0.2824777391604665,0.21086544886646807,-2.049501741231892,0.1287990628649122,16.537906456161316,1694.3164146916197,0
1538,9.558135372278932e-06,-7.39432165641399,1694.3140966487601,1727.387882294966,1876.2211055866724,1892.7554827802041,1909.3294594231256,1925.8465226980109,2421.9794451093308,2438.509873522018,2620.440406689506,-3.7635273704429446,0.023201754679264976,0.28419976124319424,0.26538670024379774,0.2872893745779266,-2.0556404090307727,0.1280108300302001,16.53787760715207,1694.3135984604046,0
1539,1.2022666919808723e-05,-7.396805419834343,1694.3138543503844,1727.3847939651018,1876.2215885850305,1892.7522079264838,1909.3326128791064,1925.8479186015923,2421.9800640767476,2438.511993788072,2620.4406750828703,-3.744315614415515,0.02365181046801272,0.46755796109814585,0.2856832950796515,0.2783513202694141,-2.0534608032040493,0.12829014747160003,16.537914652096912,1694.3129469769221,0
1540,5.391183591570682e-06,-7.408362377229826,1694.315234895452,1727.385461546156,1876.222296709208,1892.7574963138716,1909.3329459539837,1925.8428922499518,2421.9787965687856,2438.509816364734,2620.4414328185803,-3.7322641929060203,0.023938572882092737,0.7423080036654152,0.25662237364260987,0.2564064893719291,-2.025487995288681,0.13192944652813088,16.537879753971037,1694.31378465427,0
1541,-6.740185838657752e-06,-7.394809311140688,1694.3116015414225,1727.3875588541289,1876.232705661715,1892.7549837234094,1909.3337574609693,1925.8440025654943,2421.975409312615,2438.510995261573,2620.437240004627,-3.7368301174266687,0.023829520317527917,0.622693899016449,0.4215186369696764,0.4180415522171004,-2.0797954408073864,0.12495577043591988,16.537804488957757,1694.3156411179193,0
1542,-7.967335040275207e-06,-7.396078693397918,1694.3140733853988,1727.3767923338696,1876.2291604503966,1892.753174097777,1909.337284478189,1925.8485128989385,2421.9844605074804,2438.5082219107126,2620.4424843463767,-3.7106626231354434,0.024461309270913778,0.7867125532797017,0.3054291373489586,0.27554165035892164,-2.043790489007727,0.12953677141372646,16.53794035798335,1694.3133237651577,0
1543,-9.000597775762321e-06,-7.408259733189299,1694.3122502608414,1727.3864220382397,1876.229672845583,1892.758868806336,1909.338096884269,1925.8433003549687,2421.975105341896,2438.5119223741203,2620.4370824445905,-3.705304790721604,0.024592720592167043,0.7554638282701146,0.22251547937496574,0.21453828955428556,-2.0802770153807626,0.1248956094012563,16.537798438171517,1694.3162698923393,0
1544,-1.2565193799114019e-05,-7.401813202959951,1694.313788584914,1727.3864394876223,1876.2254838412362,1892.7568112486927,1909.3358330031026,1925.8498350706943,2421.9744883659405,2438.509300553274,2620.43790573384,-3.7635147688028754,0.02320204706126866,0.301333562365388,0.14848095589040655,0.17609629430381557,-2.101428569276741,0.12228161565752171,16.537785089139994,1694.316247036527,0
1545,1.828503177478479e-05,-7.395901780064338,1694.3087771604048,1727.3873759976827,1876.2318210126932,1892.7562336170774,1909.3301478232231,1925.8489108858303,2421.97000663562,2438.523103105945,2620.440935201458,-3.749067810510398,0.023539679072884043,0.5296165349839943,0.4362040392483637,0.2890511322455471,-2.05519630709564,0.1280676925129692,16.537904670759584,1694.3144545889218,0
1546,9.362488942532732e-06,-7.407600462773551,1694.310277273163,1727.3843736844683,1876.226310300207,1892.756145463622,1909.3350342320507,1925.8487951531233,2421.971244756978,2438.5263424025393,2620.4385504751367,-3.70030937591017,0.024715878789900066,0.6414652064266811,0.41144732773716997,0.15945740392150332,-2.0565229110626118,0.1278979100459874,16.53792401234263,1694.314004812199,0
1547,1.8560398131793475e-05,-7.387079559872927,1694.314578913081,1727.3890318528688,1876.2308495832594,1892.752214892119,1909.3362162348797,1925.848171003562,2421.973146542693,2438.517053634678,2620.4373852823987,-3.6761836491481126,0.025319418471047943,0.6688148878825769,0.19841613048632567,0.4180751474617388,-2.066801704778426,0.12659000715929436,16.537802535832427,1694.3168387089509,0
1548,8.647051885125784e-06,-7.3953435297253405,1694.3132363127374,1727.3825985762812,1876.2303035260477,1892.7537924289968,1909.3302434410698,1925.8440587378102,2421.969988198636,2438.5202460894707,2620.440578228944,-3.75394241841207,0.0234252115859933,0.4990569629241721,0.31872010457792577,0.38973949816935227,-2.054591163013604,0.12814521537307774,16.537903761399317,1694.3131116160362,0
1549,7.874166234670312e-06,-7.420337992807208,1694.3149243621558,1727.386493855128,1876.2300809728356,1892.7570145707114,1909.3372661563637,1925.8471209311322,2421.9736672654376,2438.5138472109334,2620.4387199525095,-3.7406033070745237,0.0237397764349701,0.423627252608944,0.2033895867216795,0.18071501142069324,-2.0675874795181706,0.12649057500012015,16.537798356222076,1694.3169843446058,0
1550,1.0506032746430764e-05,-7.409737597578621,1694.3148207876447,1727.387842692555,1876.2305569981347,1892.7566984160292,1909.3374022661867,1925.8456300717296,2421.9692801834094,2438.5107326684342,2620.44324085457,-3.741764232169111,0.023712232324185102,0.5734512040337097,0.26071913628279075,0.2189740115137313,-2.0541791781976495,0.12819802013268136,16.537789336870993,1694.3168561750122,0
1551,-6.6315701834599974e-06,-7.39531260097844,1694.3142886690043,1727.3860954000331,1876.2267258211332,1892.7547830121503,1909.3360389636498,1925.845538882236,2421.9737718799897,2438.512259058955,2620.4390996633697,-3.7321458655544872,0.023941405637614283,0.6755438806125071,0.40139033498493126,0.2645045506530994,-2.0575991136271554,0.12776034002707767,16.537822455130073,1694.3152864099886,0
1552,4.389552346413489e-06,-7.401123835931776,1694.3119005344604,1727.385075731732,1876.2310973263543,1892.7551457248262,1909.3368676758612,1925.8441801498275,2421.9742371292446,2438.508811544119,2620.4373685226665,-3.7503825146854153,0.023508751693160673,0.47938996927463506,0.4111815609707743,0.2213937133107977,-2.0666978175606343,0.1266031589260768,16.53779211741591,1694.315515245351,0
