,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
548,1.8958288611549384e-05,-7.280203976763916,1852.7040832508364,1866.4275350096502,2017.4112175013825,2031.1445567131152,-3.4760015865882408,0.030930838390568205,0.7965518083689828,0.3830659009304107,0.17507936403986668,-1.665937320487173,0.1890134087849028,13.726022973857521,1852.7026987886723,0
549,5.3928876909803344e-06,-7.287786095782476,1852.7063552008963,1866.4312891363995,2017.4236070518089,2031.1567226400448,-3.5262937819342004,0.029413727791450097,0.814602176108057,0.2230211112969671,0.3923568363339758,-1.6697040688604643,0.18830278205109957,13.726794047511818,1852.7053321984604,0
550,2.8940710463515974e-05,-7.286567853569732,1852.7073633880616,1866.4274135874623,2017.4195014755867,2031.157969164761,-3.5218106983528035,0.029545888012892364,0.8291885549771554,0.29950608702371695,0.3189235919176945,-1.62779515151727,0.19636204574313856,13.726796006436052,1852.7038878621333,0
551,2.128352812070394e-05,-7.29569056179504,1852.706945625934,1866.4276525907128,2017.4170902569238,2031.1588217522803,-3.4768989047099876,0.030903096037479073,0.8152671670308363,0.3219290350230104,0.29778258205782104,-1.6877975958128313,0.18492635840770633,13.726752427485541,1852.7037367778069,0
552,2.902140400821111e-05,-7.290583056901214,1852.7116878741617,1866.4237401818991,2017.4101906078142,2031.1504134931367,-3.4955573812607272,0.030331837326362906,0.8006813378187518,0.4562659931963293,0.2527196877417073,-1.6408380312263293,0.19381754905488024,13.726049612868117,1852.7046855556105,0
553,1.5438113400280143e-05,-7.284372314352578,1852.703213870064,1866.4304863382745,2017.425415780925,2031.1542528584846,-3.531871306235433,0.029250128673046542,0.7646446246395381,0.07500547381771505,0.5350384563583499,-1.7150780541100787,0.17994967435324066,13.726923209374593,1852.7033413510023,0
554,9.808895613915279e-06,-7.315880799963733,1852.7009403466393,1866.4302819065083,2017.4079752115495,2031.153980734031,-3.599928672578718,0.027325671447462306,0.05709176364016251,0.4098873871787745,0.3601483902209477,-1.7421163511517297,0.1751493306107167,13.726359142729478,1852.7019601219401,0
555,5.994820586547979e-06,-7.295720382057009,1852.7041809765506,1866.4287444402432,2017.4119233012357,2031.1581644842856,-3.5761684805938265,0.02798270941081715,0.06876818801256064,0.21822606627135532,0.21314791243378783,-1.7387990578973982,0.17573131707984382,13.72660949334998,1852.7027915938038,0
556,1.4985379412549989e-05,-7.286826465257105,1852.7023390264549,1866.4309780455594,2017.4110162131892,2031.1518354302393,-3.598878906001854,0.027354372085887993,0.00966602414783423,0.3214187495591001,0.24625747100659723,-1.7285314209477918,0.17754495741107237,13.726289217562488,1852.703162264705,0
557,1.80097370532636e-05,-7.284453189165695,1852.7037522081316,1866.4317979387263,2017.413838314055,2031.150261611894,-3.592984041037934,0.027516098625237212,0.01959343136496496,0.30531812692083005,0.2325863189098214,-1.724618598902826,0.17824102013111073,13.72623126337075,1852.7044093062916,0
558,1.8069422148851997e-05,-7.279702680365125,1852.7053272109008,1866.4326825154124,2017.4131086764737,2031.1480864958692,-3.5885301478790703,0.027638925714985118,0.029530857576903883,0.3705748198367764,0.23119544015496585,-1.7010046715645668,0.1825000792771091,13.726001925780217,1852.7057887070932,0
559,2.635555747850812e-05,-7.2841029074042645,1852.7069641707765,1866.4250417424948,2017.4151814422146,2031.1482707444413,-3.5852637443885893,0.02772935320434662,0.002496766458778921,0.24877722085222276,0.3712435148187563,-1.68948073853517,0.18461536275184132,13.72630524880881,1852.702880407724,0
560,1.7523319555815167e-05,-7.296133965347819,1852.7050215336312,1866.4245021075726,2017.41533106246,2031.1488491157788,-3.596774928309091,0.027411985662142594,0.004940447049839731,0.3564947899541575,0.31954123626146314,-1.6927290747400203,0.1840166429331334,13.72644440369547,1852.7015373308404,0
561,1.5321474062327552e-05,-7.296071425721007,1852.7054505801307,1866.4248217894053,2017.4129011562457,2031.150809165022,-3.596931447822852,0.027407695487232337,0.007149540107305579,0.3382059012345435,0.33696185461819583,-1.6826124590980227,0.18588771709243357,13.72640874013395,1852.7018388618305,0
562,3.4035679253673716e-05,-7.300854167896133,1852.7084060688858,1866.4221682368227,2017.4166493503758,2031.1497301094262,-3.6081325836944096,0.02710241112385028,0.013338711948805045,0.32931955529775236,0.3249306275093937,-1.6858147600276943,0.18529340078089185,13.726470706124534,1852.702178851568,0
563,8.687444677668042e-06,-7.282900371368584,1852.7051609228088,1866.422759496433,2017.4156460440126,2031.1401426642287,-3.6006644424551917,0.02730557343621915,0.17780242218793574,0.32187709070806725,0.19334286059169714,-1.6765241458088314,0.187022911955116,13.72612591262707,1852.7011088497948,0
564,-2.0821985659051194e-06,-7.285518016719205,1852.707269886359,1866.421240800731,2017.4144787028379,2031.1563039578411,-3.5884955771415314,0.027639881229548195,0.6201515343883087,0.26746298747947006,0.3262398390834982,-1.6944009736380412,0.18370924275321196,13.72676917190497,1852.7008237195603,0
565,1.8913516663579473e-05,-7.285825845058507,1852.706115144733,1866.429756732635,2017.4176280758636,2031.1551859735898,-3.538694214694783,0.0290512370040793,0.6462558520552262,0.29662241361170283,0.35882533338721334,-1.681518638518924,0.1860911561454187,13.726567260519468,1852.7044842883286,0
566,1.4890591179744803e-05,-7.285147634148949,1852.706933244085,1866.4279080222063,2017.4180793900923,2031.1580804139903,-3.5043217377169587,0.030067159850177085,0.8531428497751062,0.20504120840386375,0.2780476906234539,-1.6661612479806944,0.188971088224577,13.726747580191395,1852.7038909963492,0
567,2.2292550836617705e-05,-7.295436690145802,1852.7068279463267,1866.4308393877448,2017.423459011085,2031.1530597566737,-3.492037721907949,0.03043878315733897,0.8419833750987298,0.22040732195580004,0.26277623674179384,-1.669261239133246,0.18838618658635056,13.726620101349193,1852.705515866688,0
568,8.665108630342634e-06,-7.280731192457371,1852.70167426345,1866.4300962150837,2017.4146582586513,2031.1530215762145,-3.5069269504148473,0.029988930449905533,0.7034995731346789,0.27382516988931527,0.33364021663738197,-1.7136823565896404,0.1802010050175329,13.726543784638613,1852.702327978199,0
569,3.840740262566631e-05,-7.273980056088354,1852.7009744536863,1866.428795682855,2017.4093084483163,2031.1532122925146,-3.5582181576688194,0.02848954338883084,0.5978707185813433,0.3467912395325585,0.19638480986424933,-1.734188549634893,0.17654339838448438,13.72643011146494,1852.7012769948205,0
570,2.137886811513786e-05,-7.271763922774001,1852.7020475885859,1866.429312066073,2017.4076370712753,2031.1539819741927,-3.5874075585152316,0.02766997030092146,0.40756870463128075,0.29886890287182877,0.12309173596241996,-1.7597569752889934,0.1720866800573446,13.726333524379678,1852.702076766564,0
