,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
2611,2.5422207989840637e-05,-6.785407709238705,1745.9153237267362,1758.920619707529,1771.9111283939037,1784.9059623664732,2877.0672566736584,-3.3280554542195016,0.03586277411445799,0.1746948470950074,0.2646658206749166,0.2676346849760045,-1.6931238132955568,0.18394401880402222,13.001796399243593,1745.9106451477294,0
2612,4.10316723976326e-05,-6.762933705911789,1745.919414991534,1758.921738428618,1771.9210898418903,1784.9137056877455,2877.069932862955,-3.3166488483465257,0.036274188604990654,0.619961703535929,0.29880186918210416,0.28834039594037897,-1.6531300334623162,0.19144972576654964,13.001762419281016,1745.9163953639218,0
2613,4.311515236735641e-05,-6.760631824862878,1745.9176254107824,1758.9207730585142,1771.918621414155,1784.9190754215122,2877.072587098424,-3.3086981897575165,0.03656374183834136,0.6747482683271893,0.2355745047760227,0.3264390121431535,-1.642619349099382,0.19347260570872285,13.00179471520044,1745.9163547779494,0
2614,5.1046412404041356e-05,-6.758854696624264,1745.918374288775,1758.9226355313008,1771.9174301372075,1784.9199485448885,2877.0701674163392,-3.2733438015512846,0.03787955336383261,0.7663871103538876,0.22042893236105687,0.3690150777537484,-1.626492758532531,0.19661795290365564,13.001759510451986,1745.9169842892954,0
2615,1.1634182827549226e-05,-6.777007312942191,1745.9248852668059,1758.920624220008,1771.9230481428854,1784.9031154107124,2877.0711773046323,-3.3232424148921162,0.03603579911070056,0.6494446041377926,0.33961873012831867,0.3854580773902372,-1.6511559782337768,0.19182803137393126,13.001785600325144,1745.9153579029607,0
2616,3.8216162308225286e-05,-6.782020237913874,1745.9154715748182,1758.9234235372096,1771.9183063730768,1784.9085851055672,2877.0759352411196,-3.3715709520125507,0.034335655286189676,0.3289757658358143,0.4209766885817914,0.38307490421850043,-1.6596307881006058,0.19020919463673602,13.001861568288486,1745.9137191961925,0
2617,1.2327337962251094e-05,-6.761819730895718,1745.9213068640618,1758.9235031324024,1771.919027042786,1784.9091679639066,2877.0639458833643,-3.319987153779027,0.03615329618429501,0.48595420918287546,0.2910813967845205,0.2677957258782506,-1.7006661782160588,0.1825618647964503,13.001699081950578,1745.9157872530238,0
2618,3.826851958027892e-06,-6.7757693707153726,1745.9186514186963,1758.9217663035283,1771.9165097293674,1784.9144921892666,2877.0670146913153,-3.3786544323700185,0.034093298723750484,0.3589093059337277,0.31232669575402316,0.24564305467725056,-1.6962198596390154,0.18337540028605245,13.001741553662281,1745.9152939683163,0
2619,3.8273784722813406e-05,-6.765723619501436,1745.923792218733,1758.9265540284757,1771.919623358296,1784.9070656428114,2877.0690039599754,-3.2776987984223847,0.037714946718328216,0.6831333584067624,0.3529933584720406,0.2552069921670448,-1.6633308373273366,0.18950671166542782,13.001745030567404,1745.9167502731048,0
2620,3.507185801311194e-05,-6.763606139552508,1745.9175499480593,1758.9212483898236,1771.9165327091803,1784.9109695019326,2877.067934532548,-3.3327764619482516,0.035693864705721015,0.5111882382132892,0.3734298092936341,0.3854617864304717,-1.6873030067230559,0.18501784358890802,13.001766683887267,1745.9139866960054,0
2621,3.1402198227191364e-05,-6.7836539360333346,1745.9185512246113,1758.924105977494,1771.9178147693303,1784.908635816418,2877.069025375722,-3.320803318435721,0.036123801179753806,0.5303622271909735,0.1530955420493414,0.2556223757877798,-1.67888496488375,0.18658190547021428,13.00177024086153,1745.9147001526903,0
2622,4.193610650659295e-05,-6.7821302831950865,1745.918255980365,1758.9218422013143,1771.9196091658725,1784.9080670726512,2877.067264880876,-3.3430929917091476,0.035327520836102945,0.45838942490990914,0.1731816197474665,0.2412313205439014,-1.7094665810158778,0.18096229560045582,13.001753839846092,1745.9143864390783,0
2623,3.995869714597504e-05,-6.784546963805951,1745.9184651804776,1758.9215236666948,1771.919772195458,1784.9075503718923,2877.066773933026,-3.3405709290576704,0.03541673150713613,0.47517782852701484,0.1812637093881766,0.24952889784507093,-1.7063125808019064,0.18153395174741593,13.001749310442523,1745.914279895279,0
2624,4.118340872552576e-05,-6.777185437464662,1745.9192361853577,1758.9221273607513,1771.9181408029851,1784.9089820907448,2877.065343952163,-3.279682984909568,0.03764018742340351,0.6480620730889373,0.12353690066488565,0.30779033881195006,-1.6882241720327678,0.18484749004365042,13.001729145388149,1745.914603974181,0
2625,4.3828767854963974e-05,-6.772751695750917,1745.9174222409624,1758.9196684304973,1771.913369288013,1784.9153004104471,2877.066436945427,-3.344374147304489,0.035282289765320655,0.44856314218043086,0.1716172371663529,0.4643535383115134,-1.687224005649036,0.18503246077464347,13.001751768677732,1745.9138565656635,0
2626,4.469298473948723e-05,-6.777797887332435,1745.9138389006694,1758.9189123041085,1771.9137656879795,1784.9121507037805,2877.066538969624,-3.32801805607381,0.03586411534078875,0.5267277710812078,0.20171758067141154,0.4232777742876801,-1.6839563554404309,0.18563807105610491,13.001773891891284,1745.9120469240547,0
2627,1.7858383590113745e-05,-6.784399123822602,1745.9213270327045,1758.9214841168834,1771.9209297079099,1784.9091028011674,2877.072142836263,-3.378574379758804,0.03409602809058325,0.048279924853187266,0.4478807590757743,0.28455745471462857,-1.6956583846415922,0.18347838989879617,13.001795655348438,1745.9155981095046,0
2628,4.3592101226953833e-05,-6.760735551399682,1745.91676737612,1758.9199381622159,1771.9195285134417,1784.9122712672033,2877.0674295647086,-3.2958603209955593,0.03703616834384578,0.16818615461553427,0.13185509817648988,0.26974792958003646,-1.70552949685081,0.18167616374630818,13.001755243675891,1745.9145394443665,0
2629,4.040418298880992e-05,-6.784025611240974,1745.9190912576812,1758.920919407388,1771.9182350609708,1784.9147802659988,2877.066990752454,-3.315873431911395,0.03630232711512771,0.6017602293313544,0.24439002788883002,0.34516274073821696,-1.6727774818534198,0.18772493826528658,13.001736761829982,1745.9156995788608,0
2630,1.4432664299321301e-05,-6.759841776626498,1745.9189962018925,1758.9213999164701,1771.9185709895937,1784.911963368914,2877.073158244944,-3.3233370374703064,0.03603238947179852,0.39036742019540027,0.31130926642019885,0.2870311775477381,-1.6948790134375202,0.18362144341110573,13.001814246751652,1745.9150727547824,0
