,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
29,1.834194686577995e-05,-7.481204091911987,1733.6316919050364,1771.0972517906464,1808.5672689512992,1846.0415792609297,1883.5156967291987,1920.9766556749232,1958.4225006627678,2033.382461990673,2408.063675006443,2445.5169759138626,2595.3955111410687,2632.875757615026,2670.3729348010697,2745.278071200264,2820.2251029409363,2857.7003850005467,2895.162973644268,2932.6166787363186,-3.8718213416312155,0.02082041378420833,0.37703489802083784,0.37561299731461806,0.1847661144890258,-1.1626862595081755,0.312645205693033,37.46867101786776,1733.6296994909578,0
30,1.7690833950191352e-05,-7.479987273016737,1733.6343328811422,1771.105484357472,1808.5650703322776,1846.0475586115597,1883.5141728533758,1920.975199831847,1958.4161940322003,2033.3797786308091,2408.0592761561575,2445.52847925202,2595.404659795766,2632.886758780944,2670.3711339173938,2745.285941071533,2820.2215895264435,2857.706661593331,2895.1627616133924,2932.6204363261154,-3.794495079597491,0.02249426076102036,0.7842513685597333,0.34407389986493375,0.20933016212340205,-1.1053053658268501,0.3311097571979156,37.46877545127725,1733.6303852803999,0
31,1.2275434068174384e-05,-7.47550823280898,1733.614385484756,1771.1035657646964,1808.5795887422312,1846.0419796958865,1883.5136707530514,1920.9777987418693,1958.4436136284794,2033.3830406838738,2408.062124759977,2445.5068146889976,2595.391052278231,2632.864321106906,2670.373976365717,2745.2824171809584,2820.213692138354,2857.685687968293,2895.1561324211093,2932.622681194764,-3.8871871263539153,0.020502937173313338,0.26924283792211123,0.20083710480013917,0.3289298970488874,-1.1508411431355456,0.31637054451633323,37.468401196904736,1733.6325222270275,0
32,9.92943652197124e-06,-7.477652771349334,1733.6137518060427,1771.103095084927,1808.5697991569114,1846.044580924895,1883.5159169147853,1920.9765421405768,1958.436597499375,2033.383799428179,2408.060572572775,2445.533126597637,2595.3981285767754,2632.85758568133,2670.375850428469,2745.284658928047,2820.2106003407625,2857.6951066875404,2895.164084785411,2932.619244501714,-3.8770187036125208,0.02071248327708502,0.5121178453892853,0.24978351885162486,0.23448825248584293,-1.1539052192537484,0.3154026447029949,37.46858161925641,1733.6311176294196,0
33,1.4404746727240447e-05,-7.4816596486323705,1733.616883775609,1771.099944698802,1808.5820887551163,1846.0297379436277,1883.5126557236622,1920.9789381214139,1958.4491436775152,2033.3815439643772,2408.0821571966817,2445.5321112771508,2595.3926177183243,2632.8640426737393,2670.372957405848,2745.2857032696043,2820.2097735773455,2857.700003179721,2895.159044033226,2932.612520631569,-3.877479916933626,0.020702932606502005,0.28117026277219764,0.23810856318299778,0.1312209944874001,-1.175465898660525,0.30867513485019904,37.468515353355244,1733.6332200672432,0
34,8.215343954826435e-06,-7.473099508740607,1733.614257745591,1771.109334705641,1808.5604861489899,1846.0304519470785,1883.5179495738575,1920.9790019017355,1958.4426983533283,2033.3844414919624,2408.074105432473,2445.5304248677444,2595.3931787826077,2632.8751276696894,2670.374480784408,2745.282703898829,2820.21199182018,2857.682835857119,2895.156182500591,2932.6256076814043,-3.913467957270901,0.019971121831950496,0.018740401845841078,0.2449840647655459,0.34750088005687685,-1.1569339841616555,0.3144488094414021,37.468587862109366,1733.6311413743242,0
35,1.463745959711323e-05,-7.471559379481628,1733.6142657317735,1771.102017237773,1808.5755040779768,1846.0289147034835,1883.5093395918836,1920.9772135807748,1958.436681711468,2033.385563051487,2408.0431676604335,2445.5331156777897,2595.3908630750716,2632.84340446894,2670.3767759662696,2745.283088579203,2820.1771849062006,2857.702962427813,2895.1470398039705,2932.620160124774,-3.906107301885407,0.020118664717438253,0.00908130572852917,0.3602143258181232,0.2907795991598916,-1.1456511285185005,0.3180167805660721,37.46834048143859,1733.6296413446785,0
36,1.057781085626746e-05,-7.471803617926023,1733.6116831839795,1771.1069383157478,1808.5782642550446,1846.036049381906,1883.5189982607371,1920.9640850292028,1958.4490397839868,2033.382712261366,2408.0567015709717,2445.5348402555296,2595.399667519802,2632.852126873775,2670.378063968893,2745.2844544054424,2820.181176039788,2857.70317016534,2895.148067452371,2932.621156976691,-3.8945686800287547,0.020352150845424508,0.0048230855460396635,0.35989311955985626,0.26794039394034885,-1.1494664949185442,0.3168057417743006,37.46835828584381,1733.6326870924108,0
37,6.808384306222018e-06,-7.479593058471192,1733.6217249869137,1771.103866413244,1808.5759613473217,1846.057205226405,1883.5130226718395,1920.974476825958,1958.4392605129517,2033.3837927613868,2408.0736983938564,2445.529044704249,2595.4010735624065,2632.861674284498,2670.369091087556,2745.2883098358707,2820.198991504781,2857.7090972255564,2895.148326415481,2932.621979141694,-3.9016033499207863,0.02020948258304562,0.004936170933888621,0.29813807845041973,0.31652419753165595,-1.1491643160238878,0.3169014882487241,37.46839454394492,1733.635631266099,0
38,1.4333731415290741e-05,-7.473112954211064,1733.6318739503117,1771.1056357203622,1808.5740772162656,1846.026396298783,1883.5149765135084,1920.9792576992954,1958.426387898554,2033.3790449975654,2408.0443381167424,2445.505819864664,2595.4016320500355,2632.861863494918,2670.355131711042,2745.281864868187,2820.218762331273,2857.7093534260534,2895.15568619387,2932.6190733315857,-3.8760079926018944,0.020733428194837075,0.014714804072517332,0.22178022723443092,0.3338475159307499,-1.1439630421850766,0.3185540737181679,37.468528986107195,1733.6290753705696,0
