,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
2829,3.955012968671112e-05,-7.139550402758811,1818.0956502697845,1834.8294101283066,1851.5646642269705,1868.296915580687,1985.464497457701,2002.1922750247631,2018.9312846927708,2403.886542027121,2587.9894734250743,2604.730636957052,2721.8847281211197,2738.621672056604,2755.359818099368,2922.7319476395082,2939.468955193939,2956.196680884793,-3.429381739992352,0.03240697051431301,0.2805006388898826,0.4226652880116497,0.3239353307992161,-1.5679625388209144,0.20846949845657214,16.73694145851404,1818.090959649849,0
2830,4.0858409963843723e-05,-7.141608029392811,1818.0969346685495,1834.8290759800923,1851.5632834558862,1868.295538632121,1985.4618703406973,2002.1940196892913,2018.9311009718833,2403.8850640131245,2587.989541906589,2604.7300307373453,2721.885192884442,2738.6219525076585,2755.358515434085,2922.730672304474,2939.4705037190247,2956.1959926239356,-3.437791751249119,0.03213557036627708,0.3920163733270394,0.44132290829136367,0.2909025148043254,-1.5680862889867977,0.20844370191775244,16.736945380499453,1818.0904626289366,0
2831,2.2720301031408916e-05,-7.1471799958318325,1818.0924617750964,1834.823771819813,1851.5579190924448,1868.300678030953,1985.4745067797016,2002.1968600170676,2018.929836696785,2403.8879046589527,2587.9901918271935,2604.726688544501,2721.8777097252528,2738.61851701422,2755.354920949572,2922.7274593221855,2939.465583924652,2956.194689111531,-3.432675568127272,0.03230040312674364,0.1523505422828996,0.15386059758407655,0.3151619176975735,-1.5802298833801736,0.2059277533951775,16.736883997922064,1818.091283024841,0
2832,2.554128931702843e-05,-7.145937543230539,1818.0939015859776,1834.8206464298373,1851.5579760295411,1868.2997646164924,1985.471443971247,2002.1956831289183,2018.9300605420028,2403.8889808258127,2587.9899744649765,2604.730689947508,2721.875859558293,2738.621899413425,2755.3538740044182,2922.726235787943,2939.466923014021,2956.1922221373115,-3.4383791723052166,0.0321166987989149,0.03407891776718136,0.21953981772033448,0.2825862770106786,-1.5958771125902977,0.20273063290615434,16.736898599369358,1818.0905738746167,0
2833,2.223707948917231e-05,-7.147222136498977,1818.093594434774,1834.819882824792,1851.5615617874653,1868.3007987640985,1985.4733056598886,2002.1938886717728,2018.9297503794041,2403.887899825803,2587.991459628145,2604.7364609713513,2721.876366171831,2738.6224201214245,2755.3543426113065,2922.728014907923,2939.4611136803637,2956.1940801450623,-3.4397678316388265,0.03207213059754947,0.017625714690916283,0.29104559916373773,0.3646769285102478,-1.5887519920587359,0.20418027139266973,16.736893920506112,1818.0912800597282,0
2834,4.184764307167563e-05,-7.126643118407741,1818.0955661151988,1834.8293862036567,1851.5660968337406,1868.3008287179227,1985.455924571892,2002.196047893882,2018.9298428526151,2403.882818416772,2587.989056705688,2604.7191225835595,2721.8832927803464,2738.621579068474,2755.3583379915667,2922.7285774962934,2939.4604999627586,2956.199174637864,-3.4242186517840536,0.03257472325007282,0.263857782060664,0.29557300707392886,0.13810175083361376,-1.586516458043595,0.2046372339219175,16.73688954762113,1818.0908764968854,0
2835,3.38941139777863e-05,-7.127977400043736,1818.094651116407,1834.8258339558765,1851.5650322506015,1868.2987696194139,1985.4601617487517,2002.1908492755274,2018.9272866061028,2403.8889870064136,2587.988926132163,2604.7257809157736,2721.878946984979,2738.62111209389,2755.3523338733758,2922.727101314517,2939.462799226138,2956.202702907917,-3.405650252871693,0.03318523427075108,0.5635466033752564,0.3057183940262611,0.2052408475558125,-1.569094932970201,0.2082335624277166,16.736920140538754,1818.0895525075439,0
2836,4.106331659782206e-05,-7.145049279903683,1818.0915363598474,1834.8244794338175,1851.5669418384273,1868.2988370532473,1985.4633583582279,2002.1977545766608,2018.9322575116466,2403.882301565006,2587.990792473001,2604.7275938635185,2721.88176151219,2738.618669485395,2755.358612962276,2922.7301170487176,2939.46290532736,2956.1945908079947,-3.4065749558724217,0.033154561968611544,0.572511923513299,0.3061927202826671,0.30919682618060995,-1.5606301714693929,0.21000369115944714,16.736897456093793,1818.0910103799592,0
2837,3.088183004376232e-05,-7.136235386569221,1818.0920093646066,1834.8250882997563,1851.5644662497295,1868.3002248230946,1985.4601232629338,2002.191500877151,2018.9275197210418,2403.8864293816046,2587.990344484848,2604.732202510833,2721.8806375297213,2738.6208870749133,2755.3533985778054,2922.7256699118857,2939.461339501694,2956.198228167283,-3.38157618333445,0.03399383197461803,0.67405591961184,0.2866814268624118,0.30804335029838414,-1.5613654600051625,0.209849334608124,16.736917504388252,1818.089564993748,0
2838,3.153303105104892e-05,-7.128785804296147,1818.0913385801032,1834.8239745300543,1851.562818118676,1868.2998931454597,1985.4635100408104,2002.197371638014,2018.9283301723235,2403.886117848213,2587.9861649080035,2604.7319297285185,2721.882264264023,2738.622216562712,2755.359409088125,2922.7309759080663,2939.457351418723,2956.193657398958,-3.360085631148962,0.03473228465195349,0.7072310877543893,0.387952348010252,0.25861065197049515,-1.536601838919363,0.21511084212827308,16.736909563820717,1818.0902828646463,0
2839,3.4306283062186923e-05,-7.1304056679749594,1818.0934624311894,1834.824417651504,1851.5685663977122,1868.303594985504,1985.4631809941397,2002.1962838261777,2018.9282779920359,2403.88530132011,2587.98778017925,2604.7308091357277,2721.8821361285113,2738.6234419816124,2755.359312153583,2922.731534286598,2939.462499963849,2956.1974853897696,-3.3706609269983336,0.034366915813153036,0.6967638946467734,0.31823336635932065,0.4018765203194843,-1.5362256040573212,0.2151917895529516,16.736910101319893,1818.0915625508612,0
2840,3.8822649991105687e-05,-7.150936630601678,1818.0905269751254,1834.822493336904,1851.5653316386095,1868.2952443874947,1985.4655474219546,2002.1921207883167,2018.9334472523574,2403.88484136043,2587.9914732826264,2604.728533728575,2721.881198329112,2738.620599741499,2755.3531973022973,2922.7340092566865,2939.4680748576275,2956.2018740502417,-3.323459686809568,0.036027970394041806,0.8156810354418081,0.36255081583214444,0.24975962125619455,-1.5141161299936867,0.2200025525947479,16.736971488186477,1818.0889194066535,0
2841,3.209261809179952e-05,-7.126526703414835,1818.097982155272,1834.828577948638,1851.5627056578348,1868.2995309700639,1985.4631866352145,2002.196495017775,2018.922809265122,2403.88485172849,2587.9879618537607,2604.726313597909,2721.87961653742,2738.62096105363,2755.3562950099213,2922.7254211239847,2939.459129729486,2956.1917673803055,-3.3655465222063166,0.034543132369364564,0.7308897897380109,0.2624556710358148,0.21575753607244974,-1.5604181263215262,0.21004822614473848,16.736852948255102,1818.0913115153037,0
2842,4.378553598379881e-05,-7.149558427239191,1818.094996065196,1834.8227371159098,1851.5612182579387,1868.2968951118035,1985.4691357552454,2002.194764418264,2018.9345028461016,2403.8854735373584,2587.9924648931783,2604.7275010252074,2721.8803722594294,2738.6184519429967,2755.355770580361,2922.7293465203206,2939.4656840290936,2956.208405027612,-3.43098052253747,0.03235520021127053,0.4119566055658224,0.25189961558473306,0.4876317859826369,-1.5558542270887228,0.21100905598039316,16.736947670327652,1818.0902881938368,0
2843,5.6089941862960276e-05,-7.144939349765921,1818.0948241559138,1834.8270604881268,1851.5651338803968,1868.300185239713,1985.4701588047203,2002.1954897487374,2018.9324366101532,2403.8828051260693,2587.987728638058,2604.7264985075094,2721.879871946118,2738.6207410779184,2755.353993576759,2922.72739166384,2939.462825833211,2956.19402813264,-3.3915137932212867,0.03365768753639659,0.6480541766961759,0.3002474624703113,0.36648985602074724,-1.5589737988682641,0.21035182375867514,16.736845936518463,1818.0926430790958,0
2844,4.2388348664725226e-05,-7.129785459775202,1818.0935445814328,1834.827517135816,1851.5675377714547,1868.2971282731116,1985.478079990886,2002.197726691083,2018.9276967912062,2403.884280741968,2587.9876495209933,2604.7260073082944,2721.8781837582433,2738.6171380037176,2755.3590123196905,2922.724210644994,2939.464821730555,2956.1927173178615,-3.4305712079237276,0.0323684463782875,0.22356771848324275,0.21559033757653578,0.302725729792781,-1.5824024714504823,0.2054808428668368,16.736829616059286,1818.093316701357,0
2845,2.5624200395339067e-05,-7.14107462150687,1818.09523205317,1834.8209458150325,1851.5615293108692,1868.2986131200742,1985.4504899347683,2002.1920281265639,2018.932164338291,2403.8867752225337,2587.992498876112,2604.726375955389,2721.879869254581,2738.6195881256417,2755.351382141877,2922.735208876551,2939.462883865153,2956.2035279578145,-3.4033613838004015,0.0332612779208775,0.5788371032191348,0.442784701209205,0.25933738647735405,-1.546095323213469,0.21307835369058975,16.736981608613373,1818.0873697239685,0
2846,4.3871796738249046e-05,-7.136025700067436,1818.0915420259428,1834.828615028644,1851.5658413602139,1868.2947470032402,1985.475034577593,2002.1972325139966,2018.926179209909,2403.8834441004724,2587.9867534015148,2604.7258820821035,2721.8799378849126,2738.6193327845913,2755.3585588760925,2922.7249411026555,2939.46106740668,2956.189219968414,-3.365242817860711,0.03455362486200312,0.7190042305915734,0.16361641748807165,0.36444725923452204,-1.5467102919897697,0.212947357439595,16.736839513521264,1818.0920542887586,0
2847,2.3583086467618497e-05,-7.142181630862029,1818.0957124785728,1834.8213118810402,1851.56547372217,1868.303958429873,1985.454973392793,2002.1924638278233,2018.9231008543645,2403.8866401000873,2587.988578150408,2604.72841031006,2721.8805521541317,2738.623094525661,2755.351871754848,2922.7346418921825,2939.460619212574,2956.202662970009,-3.4280535692643324,0.032450041100148076,0.3178595832159617,0.41190457650625234,0.191989360748837,-1.5766633781562256,0.2066635070581623,16.73695547637678,1818.0885497967356,0
2848,4.274817314137952e-05,-7.139936125332206,1818.0978794051812,1834.8223178441813,1851.5682445535092,1868.2924043751484,1985.464216032555,2002.1935553159144,2018.9255939790403,2403.884399446142,2587.995040790782,2604.7258100583026,2721.8785410774053,2738.624938773942,2755.355020698891,2922.7392850754527,2939.4628830380875,2956.201431103542,-3.456297285383465,0.03154635317627331,0.020006704044774202,0.2626614150956468,0.41139604054833745,-1.565615842227117,0.20895928758698112,16.73697073704453,1818.0891349202086,0
2849,2.3802424670823284e-05,-7.134542270974655,1818.0883765447713,1834.8278338035586,1851.5623630577215,1868.2905755995366,1985.4724861341208,2002.1958943565003,2018.927773547112,2403.8871212003373,2587.9835095282638,2604.731255406921,2721.8839942538116,2738.613805632144,2755.352779429995,2922.7219647368165,2939.463040053136,2956.189884050259,-3.4319014688502807,0.032325416525628516,0.004602484878559108,0.363425346697573,0.2159455892880464,-1.5962354789716169,0.2026579940792914,16.736866106516473,1818.0901889101071,0
2850,2.7043395808273413e-05,-7.13709098072487,1818.0959645864473,1834.8241351717281,1851.5673223667548,1868.2873863801995,1985.455723034608,2002.1945556557278,2018.93077486566,2403.8839689108304,2587.989455567515,2604.731014691942,2721.879674683175,2738.616688683723,2755.3554960807564,2922.7312777028174,2939.466209173119,2956.1973714114984,-3.4330787205976065,0.03228738376400076,0.02634797633500895,0.27728738593748625,0.333742650564387,-1.585189660648296,0.20490892627135998,16.73695354902369,1818.0881735835542,0
2851,2.8386722876201134e-05,-7.1377998523921455,1818.0929156677398,1834.8261054011962,1851.5653644509632,1868.2877265715667,1985.4593305287315,2002.195757909249,2018.9329463663644,2403.88527084167,2587.9901965622494,2604.7301834036452,2721.8759011012676,2738.6181079085213,2755.3580365913813,2922.72996290217,2939.461406765515,2956.1926090955803,-3.429149747889112,0.03241448954770672,0.007479806877101933,0.3716582334472165,0.15785021606506655,-1.5952667520536998,0.20285440945435734,16.736913650856142,1818.0891778850935,0
2852,4.1529389321688435e-05,-7.13915885081318,1818.0967243930468,1834.8246321500194,1851.5623241734588,1868.283806884714,1985.4633026274173,2002.19723549554,2018.9294495145584,2403.885173686284,2587.989987478558,2604.7283863993584,2721.8781131337746,2738.616494758615,2755.35322732843,2922.7283871127597,2939.462509205603,2956.1952916892624,-3.4351041004935468,0.03222205572541283,0.006945246215552326,0.27287650064203617,0.19452122132035887,-1.5881001873892946,0.20431340042932178,16.736917068396597,1818.0886405360004,0
2853,2.6457476917564777e-05,-7.136002549809393,1818.0918352293759,1834.8251633534505,1851.5647710442784,1868.3047446948647,1985.469978239036,2002.1954503759277,2018.9309282328293,2403.8845548006584,2587.9913334159214,2604.7258980138618,2721.883188310682,2738.622886743622,2755.3569535081756,2922.72784456795,2939.4606320391918,2956.195730444066,-3.4510836606856126,0.03171125351302954,0.01070710218590003,0.32922685901982995,0.4262400450213337,-1.5704694343440164,0.20794754172304147,16.736873360665466,1818.0923994862005,0
