,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
5239,-2.5331105893984804e-06,-6.882405854814697,1717.4529071341576,1727.0757025626515,1871.304867168446,1880.9391718311047,1890.5471761560761,1909.7843953863858,1919.3937706898291,2428.9062089307904,2438.516068519,2611.598711464798,2621.214375109397,2630.8245516239604,2650.075224351001,2659.6757464956054,-3.413794138037064,0.03291607502228557,0.8208833279535642,0.4116867906372834,0.2722634262452135,-2.1430241439724735,0.11729957529855127,9.614189333302214,1717.4790533413504,0
5240,-9.601532018522099e-06,-6.897958090682179,1717.4568302082303,1727.0746319610314,1871.2949827383281,1880.9310818762724,1890.5411578512476,1909.7751340927834,1919.4014299617413,2428.9012726375836,2438.528104293033,2611.5980878352207,2621.2197155122667,2630.833469691107,2650.0742075307908,2659.6687703009948,-3.4707347220673426,0.031094176688651016,0.8137994485299,0.43609610093521756,0.22593020338513226,-2.096385335860084,0.12289986807307368,9.614242136425403,1717.475627171483,0
5241,-1.4662277427991351e-05,-6.896159978395479,1717.4525786028958,1727.0732836191992,1871.2969244194185,1880.9274546501217,1890.5393805408598,1909.7781486860797,1919.40546889484,2428.899306702879,2438.5261354574973,2611.5964977894964,2621.2195669008343,2630.834591091538,2650.074208033766,2659.6694764986937,-3.4571641850852273,0.03151901750246877,0.8382260338960256,0.35686022642485504,0.25343981588027065,-2.0939165332092005,0.12320365843809511,9.61424693122471,1717.474962738397,0
5242,-7.352380690845728e-06,-6.886926145758048,1717.4616162476048,1727.066479182988,1871.3098631765733,1880.938584389594,1890.5449962696366,1909.7833795796414,1919.389625235207,2428.9118424843923,2438.5171431869403,2611.6018201196366,2621.217090778575,2630.823237593528,2650.0794453120584,2659.6802449932197,-3.3919091542741686,0.03364438322779066,0.8819191731578818,0.37141047424764384,0.4079190580079566,-2.0659353713006436,0.12669972383920344,9.614228311586235,1717.47822946565,0
5243,-1.71273683180927e-05,-6.884450897375964,1717.4600177377763,1727.0585289907528,1871.309561480563,1880.9369441618098,1890.5443767403895,1909.7814211391276,1919.388915552866,2428.911322158248,2438.522647163315,2611.600874238919,2621.217857713394,2630.8246738923867,2650.0774830325,2659.6880021472793,-3.371877308174591,0.034325137957721505,0.9036797981502659,0.2933399799085059,0.4087220421690225,-2.0752197380367603,0.12552884100132902,9.614279676591659,1717.4753956199943,0
5244,-1.4738727948676366e-05,-6.895371293086358,1717.4513081231116,1727.0802666716909,1871.2912917721003,1880.9326497203583,1890.5440737968788,1909.779101085957,1919.4040832972842,2428.906128477247,2438.5200840771045,2611.599884720624,2621.214419254116,2630.8288916049055,2650.0776698549994,2659.6751821444586,-3.516792418044242,0.029694530213079922,0.7910319251403773,0.36453499523996347,0.2510492221042231,-2.1014537802375726,0.12227853285935929,9.614232835874896,1717.4765446861988,0
5245,-1.3655045851554128e-05,-6.896440519426353,1717.4501738900942,1727.0812072719862,1871.2950774595158,1880.9370121999377,1890.5442364257337,1909.772640207314,1919.3999727820622,2428.909267887306,2438.5136051520026,2611.6009302044777,2621.214941476537,2630.826722362063,2650.0751321498888,2659.6686722492777,-3.5624463517382963,0.028369338374577908,0.5013155704095983,0.28093275381342764,0.3891162673475803,-2.128804814110502,0.11897941142070678,9.614210353764587,1717.4765962401048,0
5246,-5.5259576787979865e-06,-6.880158403224447,1717.4666072009043,1727.0748814312522,1871.3015594726357,1880.9397497706996,1890.5414275586472,1909.7791361937045,1919.3939162374395,2428.8990208127466,2438.531012236392,2611.5955359715294,2621.218366964195,2630.832639080609,2650.0702639855294,2659.671227528235,-3.4937698250232385,0.030386105680787298,0.7776632925847958,0.40777120757934027,0.21210667229355806,-2.1933394962751143,0.1115436264190562,9.614186129846885,1717.4796797917586,0
5247,-2.357798930569596e-05,-6.892593363584823,1717.4583736908205,1727.077487694817,1871.3052747404874,1880.928786239527,1890.5434603112521,1909.7793192491947,1919.3891336343659,2428.912172435939,2438.519613638328,2611.594865396914,2621.214687976704,2630.8261979451054,2650.072100446161,2659.6714184943903,-3.5666704446606925,0.02824975639364444,0.039419745064022085,0.20933141912570274,0.32503040353317303,-2.1976560761391686,0.11106317714214117,9.614198445378019,1717.4774435476584,0
5248,-1.9792239804341955e-05,-6.888579939104621,1717.4632318010947,1727.075665210341,1871.3056393819509,1880.9292396321198,1890.5455846296613,1909.77748112451,1919.3902487159755,2428.9073001511697,2438.5233233096606,2611.5972285170033,2621.2170396942274,2630.8241648005683,2650.0760299938147,2659.6706712230543,-3.560336084123618,0.02842926848264252,0.08339953586435916,0.3095323777700709,0.33206839284580103,-2.204269228653129,0.11033112267489294,9.614198378931434,1717.4781581238174,0
