,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
3656,1.9990438962434313e-05,-6.298142559975614,1700.7330606936944,1738.6402618352529,1852.3995377858816,1890.3110607756655,1966.1513222952103,2004.0676903634262,2421.2510963535638,2648.8261910578985,2686.7624548321687,2724.667702980705,2762.6095527596094,2800.5433599425883,2838.4835464494217,2876.373187236342,2914.3151313983126,-3.2873664847388926,0.03735208727583674,0.6213721386268227,0.3561799234318679,0.29551584750755544,-1.9447921403171182,0.14301694770613393,37.92538550886534,1700.695353223225,0
3657,-7.343127623954303e-06,-6.272916500891528,1700.7329716188049,1738.6411593577607,1852.4005832222188,1890.3324169782804,1966.152833603137,2004.067559652723,2421.2428716438667,2648.8266387894882,2686.764375104163,2724.6709806050885,2762.5977074045563,2800.5433416150177,2838.4825562073506,2876.3741975726152,2914.310349998329,-3.288208829546935,0.03732063718681959,0.6099328787299002,0.4291245077718704,0.28615834064485757,-1.9636787343855964,0.1403411921614219,37.925165834462156,1700.699695759979,0
3658,1.288186022026786e-05,-6.282384821887997,1700.7339206991624,1738.643295862858,1852.401001666582,1890.315372480513,1966.1589290722366,2004.0669129249386,2421.235821412161,2648.8347788481824,2686.7547912395903,2724.6723230960806,2762.606139321968,2800.5450117599908,2838.499125622663,2876.372932272653,2914.3060126850005,-3.3150882009639435,0.03633084402055608,0.1873453492114487,0.41901134538163576,0.204722500710103,-1.973949979463745,0.13890709099239446,37.92531211023597,1700.6974316653593,0
3659,8.168718680937894e-06,-6.276563227554673,1700.7277135846975,1738.6374276078623,1852.4005137557554,1890.3191898419723,1966.1504770663726,2004.0615148922557,2421.242042881751,2648.8373675165117,2686.75739373829,2724.6737338129724,2762.6062557317537,2800.5416126624573,2838.4868855288005,2876.3750735522467,2914.312063431732,-3.302977743190377,0.03677350215916837,0.5535507840164969,0.4254075082066431,0.3145081296939527,-1.9315682941701326,0.14492074181623935,37.925455831135224,1700.6936853024436,0
3660,-1.2847537747365777e-05,-6.272580060728964,1700.73632541483,1738.6447201234096,1852.4026828477183,1890.3124702414423,1966.1598553242457,2004.0696010301554,2421.2571564510436,2648.8276215341075,2686.744491576887,2724.6672116989093,2762.6063830065236,2800.553560894999,2838.4983792543335,2876.377741525474,2914.3238516761276,-3.1937554342658325,0.04101754265040441,0.8153212961966014,0.3159563901481457,0.3468781938870895,-1.9169061991903875,0.1470612372244658,37.92538155805857,1700.6985512538847,0
3661,3.154166770133298e-05,-6.28711841612864,1700.7225131986859,1738.6392187810661,1852.3991153691059,1890.3297722718826,1966.1387144902972,2004.055411660706,2421.223975460155,2648.826254077109,2686.772848124512,2724.6695684877177,2762.605568238199,2800.547776068189,2838.501287657784,2876.3748644116595,2914.308019564249,-3.3163460897650228,0.03628517258954176,0.3035869293011307,0.47566039297720275,0.11931152616560126,-1.9179207467898354,0.14691211225924689,37.925598127067374,1700.690147819931,0
3662,4.331219423652614e-06,-6.272104781573984,1700.7201690330992,1738.6387634119114,1852.4011901121837,1890.3293555785208,1966.1584883379262,2004.0533211645256,2421.2550489537607,2648.8205541875145,2686.74336283447,2724.6677069832217,2762.607086782707,2800.5503953979214,2838.4981636854054,2876.3759657312826,2914.3092423498424,-3.324752066611611,0.03598143864761718,0.4986834156073002,0.34422435183978206,0.5014977849553206,-1.9165608699790548,0.14711203053523633,37.925411818479986,1700.6944533278488,0
3663,2.544015799686447e-05,-6.287410779215217,1700.736373570856,1738.66066675386,1852.399857276088,1890.3272873748117,1966.1407005792344,2004.0717590499028,2421.2348074642196,2648.8335489273545,2686.7693326372005,2724.670962241985,2762.6073614447955,2800.5486923235762,2838.4935225256063,2876.3751814659963,2914.315393200062,-3.281388905803168,0.037576030979706604,0.1367934402707984,0.4458818475865909,0.028257492205727708,-1.9506143533956362,0.1421866918712841,37.925269265818194,1700.7008137688665,0
3664,4.9492373958911255e-06,-6.2877714285256925,1700.7317797675887,1738.6524689520325,1852.4003247329376,1890.3298016067442,1966.1434460862745,2004.065429814284,2421.2380821070237,2648.8267322883003,2686.76310639404,2724.669964494761,2762.6042658500523,2800.5473577051707,2838.4911255298753,2876.373273017802,2914.3104418104394,-3.355597116959294,0.03488853140000418,0.47803217062428005,0.45116457663758314,0.33625932076766873,-1.9120732483115617,0.14777369721545272,37.92524534483026,1700.6987244242334,0
3665,2.0890056638310826e-06,-6.270069993101562,1700.7247639485183,1738.6557881197311,1852.3984892021192,1890.3333486469892,1966.1397522239602,2004.0644168606398,2421.230444566303,2648.82629851343,2686.769596183048,2724.6640220134386,2762.6094681272225,2800.5509909792213,2838.491002555288,2876.3755711038325,2914.314534290587,-3.339794669370802,0.0354442347614985,0.25844390310430415,0.464050102059252,0.28431034940114763,-1.9228430556323677,0.14619074232930346,37.92537037629031,1700.6965163322245,0
3666,1.9076292929919516e-05,-6.288498698349962,1700.72517354288,1738.6396949732618,1852.3992595134246,1890.3222863830645,1966.152666358279,2004.0635298458633,2421.248299538577,2648.826116735438,2686.7573919467404,2724.6643865005826,2762.6010424509745,2800.5452987837075,2838.500097736965,2876.370485768242,2914.3159537863803,-3.3498972259760875,0.03508796004638793,0.09483530704313861,0.4184786148251407,0.21946187690829588,-1.8889258351628568,0.1512341720481213,37.925420549662334,1700.6944862904156,0
3667,5.5689792511671687e-05,-6.284632888799705,1700.7243260759844,1738.6378015939163,1852.3982533119836,1890.3090720205564,1966.149177875656,2004.060212604798,2421.237459073463,2648.8225432626214,2686.755782216522,2724.669532230179,2762.6067831239093,2800.5468212699434,2838.491110728067,2876.37481273428,2914.311281628003,-3.2828911509578655,0.03751962494768654,0.311299352339944,0.45397804234568406,0.15464131535149162,-1.911523720616211,0.147854925271206,37.925545087700456,1700.6897803930242,0
