,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
3233,1.9489685636935545e-05,-7.462939999216712,1843.8327215553286,1851.9316432796725,1860.0071597327276,1868.1252128634267,2587.43404068162,2603.603382226395,2943.0417852347664,2959.2210285759265,-3.525031426670893,0.02945088181139357,0.9609190070560731,0.34133687302578974,0.404339448861297,-1.7287085278856666,0.17751351575168037,8.082370027048563,1843.8515676931538,0
3234,1.747556667008905e-05,-7.473073586363451,1843.8388204328653,1851.9248837566208,1860.011963531406,1868.1237932244333,2587.4461376347454,2603.594005217603,2943.0549419665067,2959.219190691195,-3.635110794059854,0.026381011366148132,0.9600558919754304,0.295030706583856,0.3287415074759614,-1.6564343618499744,0.19081815703279076,8.08239851378221,1843.8520036291081,0
3235,1.6752836692460603e-05,-7.474690441699316,1843.8378965377592,1851.9252150991395,1860.0115532241264,1868.1209379216793,2587.4448146937348,2603.593210803631,2943.0548640383704,2959.2197042184275,-3.6474701428759086,0.026056965865156403,0.9438522929170344,0.3137499098311838,0.3385729223794307,-1.6590821911255669,0.19031357145332348,8.082404920542283,1843.8509379455204,0
3236,1.7532443651142293e-05,-7.474989314620086,1843.8366407131957,1851.9244356539111,1860.0110384465745,1868.1218371677146,2587.4476208249744,2603.5939626877375,2943.055511488427,2959.219565615709,-3.6337112098005764,0.026417959664497098,0.9549468744658135,0.31146011074216196,0.358337671510234,-1.661508944682557,0.18985228725477074,8.082414228554882,1843.8506977614586,0
3237,3.2874629588790216e-07,-7.456317525420654,1843.8585344801504,1851.936414942305,1860.0171911452792,1868.1048034770504,2587.44495118452,2603.600231624664,2943.041940626703,2959.227763344364,-3.635573173587888,0.026368816146190886,0.955689369149467,0.3027064691980388,0.25769398272722666,-1.7514435927070644,0.17352326563486897,8.082355279256346,1843.8567838364477,0
3238,2.3642296955837285e-06,-7.457624753795999,1843.861114094299,1851.9330341884047,1860.01928173386,1868.098882263626,2587.4479616694257,2603.5970805431657,2943.0455934791335,2959.224842265882,-3.6504547379856347,0.025979312312111865,0.9359017688850669,0.2981487203040223,0.32014998997780797,-1.7615207956986345,0.17178341758772117,8.082365847582743,1843.8556631580298,0
3239,2.142038734430635e-05,-7.453557079092258,1843.85571277631,1851.9450616737374,1860.0195600249099,1868.1120867169625,2587.4431108052713,2603.5970489882534,2943.045446991267,2959.224883835442,-3.6859141485430613,0.02507424266095841,0.9213043114315346,0.3284569514202871,0.2069233387920837,-1.7917761191767478,0.16666389169831947,8.082319218603754,1843.8602694928502,0
3240,-5.262070622451529e-08,-7.4706404460406715,1843.8409010992318,1851.926895252828,1860.0177084706368,1868.112895073407,2587.4368724109017,2603.5938343755447,2943.0523599714984,2959.223082216767,-3.748286180430966,0.023558085586712907,0.8437146332417536,0.25139949154854935,0.4521099654514704,-1.9181232591272572,0.1468823637563188,8.08239250151866,1843.8512053953898,0
3241,2.405638253529865e-07,-7.469997247148117,1843.8400757222016,1851.9194186185641,1860.0127718416832,1868.1091529947892,2587.4409884354886,2603.5949210380777,2943.0511950904406,2959.2236813313225,-3.7465174467045865,0.0235997904387357,0.8614229270662154,0.31080444202186563,0.42901074559725494,-1.8544692392451785,0.15653600379774513,8.082432037585521,1843.8473594447146,0
3242,2.1408902336353222e-05,-7.467550754683091,1843.8595340573688,1851.9382661754657,1860.0192031058364,1868.1087946351067,2587.440083095919,2603.6031868211803,2943.051117892626,2959.2302582288717,-3.8728615134339335,0.020798768236364965,0.2588391698843625,0.5025899674886585,0.1657279200651054,-1.8936494259869936,0.1505214882392237,8.082368125284413,1843.8583622037295,0
