,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,TTS_6,TTS_7,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
1421,9.251056729698638e-06,-7.463156591181261,1843.857412272087,1851.9296720572136,1860.0086665733038,1868.117410066123,2587.4262440811412,2603.6036388116618,2943.054303506227,2959.232813052064,-3.8628218212220506,0.021008633194856425,0.4559392742195657,0.33803740976620644,0.26150575081204774,-1.8912242015111937,0.15088697965685818,8.082394571274849,1843.8542862757179,0.1371634043121023,52.106273353213815
1422,9.550083681335583e-06,-7.460285799208869,1843.845170241966,1851.932243344645,1860.0229298802346,1868.1149346852446,2587.4512809542175,2603.5897174147185,2943.0476846522347,2959.227129785596,-3.756017648121158,0.023376649297348555,0.7893621072598195,0.41845699133384473,0.20961799267073866,-1.9170495253281188,0.1470401610157463,8.082368579970591,1843.85591658657,0.21460491383345617,247.80739439446415
1423,6.774310983209432e-06,-7.465362903179516,1843.8508056410458,1851.9331818870223,1860.02596054128,1868.1082721506418,2587.4512635877268,2603.5994991190983,2943.047612638278,2959.2201122172605,-3.8078735615001404,0.022195325807146463,0.7054202502026071,0.3412075124749172,0.398475065747135,-1.8960483862791548,0.1501608259460488,8.08235412631601,1843.8574606148866,0.540140196588627,204.39449235265496
1424,1.4728863434483835e-05,-7.489612695423873,1843.84687242641,1851.9266336286128,1860.0242186339333,1868.1123235939924,2587.449347737999,2603.6014892080007,2943.0479693069606,2959.222694855004,-3.807663334776416,0.02219999234827153,0.4154796204574548,0.23223676965024964,0.3430249038245252,-1.964235671480358,0.14026305270698428,8.082380049544124,1843.8553057879187,0.31078345827528986,149.5133439771657
1425,1.6457495691294464e-05,-7.467256271108584,1843.847472930523,1851.93963274947,1860.016825939327,1868.1145668978963,2587.442667552214,2603.587654979198,2943.047058620289,2959.2171287577967,-3.7922964817854,0.022543771000122153,0.5620607058528926,0.3874190131585358,0.47207391109902086,-1.9383805082868937,0.1439368656852929,8.082317904265658,1843.8566081298643,0.2990478018617554,169.3800657497133
1426,1.8393276356527602e-05,-7.465275278498202,1843.8382686412208,1851.937722270467,1860.0137875025323,1868.1052565511234,2587.4472424187484,2603.595082229939,2943.045401456144,2959.220508235159,-3.853377371689887,0.021207988087586935,0.01142284702411475,0.23244508843870215,0.29459771415620617,-1.8959383335548576,0.15017735246340433,8.08238616346451,1843.8514146413586,0.589928579016767,184.35589178713272
1427,7.024818209433165e-06,-7.458048974367813,1843.8560089080515,1851.93962868412,1860.0142338835797,1868.0938848408168,2587.440235394777,2603.5933061440123,2943.0579579516448,2959.2232097607257,-3.8504611141267193,0.02126992631326003,0.3989876036867523,0.4245861583998447,0.175613284442933,-1.8717142793724617,0.15385967713726625,8.082398881030485,1843.8525733759402,0.12052252001530787,38.41191004809556
1428,6.790871325940498e-06,-7.465944887388773,1843.8443179978267,1851.9219034368484,1860.0225068313505,1868.1044860455424,2587.449682231782,2603.598975198315,2943.050821972161,2959.21904617606,-3.8328597493748,0.021647620257987624,0.4565282406326354,0.05647359764705029,0.40499655648903365,-1.9434985864210494,0.14320206754147205,8.082408961588115,1843.8511454737286,0.15780058632343474,72.59722355177192
1429,2.6548940520291695e-06,-7.472406331575457,1843.8562194030974,1851.9370502856702,1860.0182001151309,1868.1107125769847,2587.44467993477,2603.598527839051,2943.053750226137,2959.2291499720254,-3.883313083434719,0.020582520486945116,0.48794134211661866,0.3903960175541117,0.2866468074948292,-1.8610624160539009,0.15550732909125478,8.082379601687366,1843.8574244958202,0.27854968669365465,1.1930084514356551
1430,2.114336451259025e-06,-7.458808043347273,1843.8500239607797,1851.9242456304505,1860.005386206363,1868.1055984068914,2587.445272300582,2603.5934133262804,2943.0445923075995,2959.2247167102387,-3.8696514172436287,0.02086564156051922,0.27040270425265406,0.5982792163777471,0.3274619311759628,-1.97814909708116,0.13832502671288444,8.08241095768488,1843.8487178210044,0.3636769574475801,147.89491030052852
1431,1.5338541360879886e-05,-7.460794506685606,1843.8570953641379,1851.9403425476266,1860.0157060442039,1868.1077498818736,2587.4513510270226,2603.598192148731,2943.0406050369597,2959.222938749582,-3.835839105229061,0.021583220276709312,0.4089791760332192,0.2711691615117706,0.42190761056237713,-1.9123743543910519,0.1477292083551017,8.082334860304567,1843.8582419872764,0.5657979046775187,-4.317285655405913
1432,1.3409568688567876e-05,-7.466148823439606,1843.8517122960802,1851.9446926247383,1860.021477426856,1868.140448175319,2587.438507705783,2603.5877294300226,2943.053812455956,2959.2266056567914,-3.870416202341791,0.020849689929352547,0.5770119216403657,0.27055498712276305,0.23898097891391767,-1.8918544550830119,0.15079191256032404,8.082278746307702,1843.8653862490191,0.5642468293985293,-10.648673384652536
1433,4.3703848396685515e-06,-7.472562424887664,1843.851125097175,1851.9348559425941,1860.0187793032424,1868.1057459794677,2587.4539716419404,2603.597069660272,2943.0490263793545,2959.222214988379,-3.8376911953278334,0.021543283203080653,0.5296350160307542,0.3646781617167787,0.4412773355568709,-1.9387091159888836,0.14388957469314612,8.082379793528977,1843.8554756509905,0.48287702194552606,-6.521453453701898
1434,1.7305190540305865e-05,-7.476950916489634,1843.8527388482266,1851.9372141415608,1860.0174323984256,1868.109857033995,2587.4482630879766,2603.5995734203434,2943.0509254257995,2959.2258118494015,-3.843830454658579,0.02141142855972476,0.21550222580553943,0.29582521752150703,0.4905937053969587,-1.9091150837073956,0.14821148333844292,8.082378023955286,1843.856707130321,0.19482612216216352,64.83768426685303
1435,1.4968845101164014e-05,-7.459406824245742,1843.8587862145293,1851.9294029252935,1860.0187851375044,1868.111358310488,2587.423053032892,2603.5989614451573,2943.052577109366,2959.213261441667,-3.857290209911637,0.021125166800009434,0.6275207256601959,0.44309588249262455,0.5097630855042814,-1.8444472900197302,0.15811268720353153,8.082312728726329,1843.8560567538038,0.13757694354782202,-34.4567229063811
1436,7.70747948750352e-06,-7.473016012114867,1843.8469742795517,1851.9343723780553,1860.013891268192,1868.1029284975668,2587.4325841055247,2603.5946427634,2943.0498453934665,2959.224534050498,-3.867399262731072,0.02091268716641856,0.329496956623992,0.3990538851537835,0.2094759192654565,-1.9699695532359207,0.13946110228969064,8.082384850266818,1843.8510540639893,0.3152236086732162,49.450119367973834
1437,5.359604768118895e-06,-7.46673405163876,1843.8486515678317,1851.9194940414172,1860.01913285985,1868.1107589356075,2587.4556063106606,2603.5984572023895,2943.0467554786237,2959.2368878992174,-3.850172087375464,0.021276074779454597,0.5423203767107041,0.29709658794608096,0.3348370655220012,-1.9572630161874112,0.14124447621151554,8.082445658136725,1843.8520084504855,0.14752216385953562,31.053336077405632
1438,1.1462749945899136e-05,-7.46243747450737,1843.8502354060395,1851.9349036414467,1860.0163121758255,1868.1155164400548,2587.438074614725,2603.6007885539,2943.042262368137,2959.2243701731136,-3.854515002493565,0.021183874945581625,0.564886092680226,0.3505833754890184,0.3399838318837669,-1.89038960420948,0.15101296208792925,8.08233975136323,1843.8565174047476,0.34477776324635917,-12.984547432885194
