,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,TTS_0_21,TTS_0_22,TTS_0_23,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
1690,-3.2149004932721244e-05,-6.304892561355233,1713.0364573583188,1716.3461592968217,1719.6699679409999,1726.3008647966083,1729.6086515021068,1732.926994196512,1739.5644590848967,1742.8779779872104,1746.1894065807323,1752.8212998457034,1756.135083660424,1759.4574023460627,1902.0483705042725,1905.3568624500656,1908.6751833531187,1911.9891640865262,1918.6169111826987,1921.9411261189875,1925.2546530855457,2641.5038161021616,2644.817977335759,2648.1351420101864,2658.085876440205,2661.4018780256183,-3.0049495529805315,0.04954125347398462,0.7267460783330161,0.3682032794772805,0.31554798084245084,-2.708976386428566,0.06660494956339251,3.315969318569613,1713.0326926799717,0
1691,-3.190623541897518e-05,-6.308118800315912,1713.0377947310194,1716.3466875412998,1719.6697514865598,1726.3005174332102,1729.608532806546,1732.926992902935,1739.5633725114983,1742.8776923852759,1746.189609671716,1752.8226071774884,1756.1360095135979,1759.456550339647,1902.0486249988771,1905.35659082438,1908.6749793693302,1911.9895719982148,1918.617282477992,1921.9400129482412,1925.255029026883,2641.503059622589,2644.8175077332826,2648.134753183839,2658.0852309067054,2661.400657849629,-2.9995949190343314,0.0498072402469425,0.7294646067187911,0.3633942245637267,0.3177118386128608,-2.710572507806865,0.06649872477587253,3.3159663389641736,1713.032836762108,0
1692,-1.8577664079001853e-05,-6.329463040147006,1713.036426510706,1716.3482586016253,1719.6662405729082,1726.2974780477869,1729.610211300658,1732.92766054142,1739.565735730789,1742.8755180443002,1746.1927404592209,1752.8215566911633,1756.1382868026813,1759.4550558124295,1902.0447564660767,1905.3572836991727,1908.6733302951002,1911.9902416579039,1918.6145407812746,1921.933128637758,1925.2554799164366,2641.505625959039,2644.8196206355105,2648.1338081446233,2658.085579818729,2661.401018188292,-2.974865578470418,0.05105429633952694,0.7849378881279725,0.3099767394973194,0.18012105684831137,-2.704377258940484,0.06691197971197888,3.315970905724408,1713.032061392459,0
1693,5.450962657996232e-05,-6.312148212763952,1713.0334337025247,1716.3469029535115,1719.659767452618,1726.2965292700496,1729.6084248191557,1732.9266501584414,1739.5561703719952,1742.8742021369521,1746.1942499466797,1752.8229813215075,1756.1392993864338,1759.456988874669,1902.0457860842923,1905.3605783510639,1908.6752515375565,1911.9889495170034,1918.617466330586,1921.9344598818723,1925.2616236676477,2641.508170711923,2644.8228309782526,2648.134632507517,2658.0863607044216,2661.3976683620535,-3.0452036194373155,0.04758662143989053,0.32054184908616845,0.37829728829957543,0.23671415127855155,-2.761556333030602,0.0631933419020181,3.315978327174281,1713.031458855289,0
1694,2.5462556024134793e-05,-6.308177211132047,1713.0298960229734,1716.3425570661445,1719.6605608821094,1726.2937688544655,1729.609719361467,1732.9278453159304,1739.5571965694241,1742.8748943516296,1746.1921746002272,1752.8226493443863,1756.1379070895227,1759.458196485227,1902.0450975829185,1905.3593026194799,1908.675114585912,1911.9897089798924,1918.6150453746807,1921.9390887945062,1925.2612372846784,2641.509828193768,2644.8224053928907,2648.135106277056,2658.0868694395576,2661.3993761612146,-3.064270976825203,0.04668786599706781,0.20028962946373424,0.42611818518008593,0.2920229059999937,-2.719861425992277,0.06588388358764923,3.315983638092425,1713.0308740772714,0
1695,1.7925194380315655e-05,-6.328925397879396,1713.0299920353327,1716.3526050605503,1719.663077706711,1726.2970024971246,1729.6083662914439,1732.9276784814733,1739.5629208262883,1742.874414334383,1746.192916364563,1752.8234936059434,1756.1389731006902,1759.4539707739057,1902.0463868073757,1905.3633687492375,1908.6747654997976,1911.991282879884,1918.6175790125033,1921.9397033382409,1925.2490874464327,2641.5098035283786,2644.819929886732,2648.136280848771,2658.0849585378805,2661.3983743249596,-3.0425378369482363,0.047713646257082055,0.3836548645842284,0.32727189906605014,0.128142837043989,-2.7513561155451556,0.06384122639703982,3.3159752796583066,1713.0320174881244,0
1696,-7.383439868837785e-06,-6.322595938306076,1713.0294562123436,1716.3472951211338,1719.6610856132681,1726.2939369104213,1729.6103686422516,1732.9252849028408,1739.5611734657025,1742.8737099555879,1746.1911081807586,1752.821029581163,1756.137532675598,1759.4523350226689,1902.0441823251667,1905.3587654163014,1908.6756470792532,1911.9884374258424,1918.6151883755722,1921.9351704362598,1925.2591317139882,2641.505374878546,2644.819616275883,2648.135357449743,2658.085935577309,2661.3977852855937,-3.097376317821266,0.045167552371517435,0.16509182512868806,0.4346222369921293,0.2824544954921224,-2.7471874130170244,0.06410791696953798,3.315977652609074,1713.030493244215,0
1697,2.577688763170704e-05,-6.3284037387878005,1713.030305669199,1716.3455656668866,1719.6630123237474,1726.2951166124606,1729.6078784594058,1732.9291122296456,1739.5541683758918,1742.8749636662665,1746.1939251848144,1752.818014411142,1756.1404332672269,1759.457074032624,1902.0468868822884,1905.361050277718,1908.674515037325,1911.990415669007,1918.6175105244388,1921.9417988990433,1925.2544994053699,2641.5057919616925,2644.822786229529,2648.134576136156,2658.086329421698,2661.4060652855337,-3.0526358946548204,0.047234255634517455,0.5532956121561722,0.5491530571022287,0.18725792852801515,-2.6955508667079022,0.0675051851708585,3.3159842111935856,1713.03108858026,0
1698,8.262027142813187e-06,-6.312789858499366,1713.0301361749544,1716.3482118951404,1719.6620520838264,1726.2976385165096,1729.6089104942412,1732.9269543417856,1739.5699524427573,1742.8743559256725,1746.194561732868,1752.8261881382575,1756.1397034764461,1759.4570808598476,1902.0468658625416,1905.3610818465952,1908.6741567041815,1911.9896436884376,1918.614474414541,1921.9349149999402,1925.256333113235,2641.5092294015813,2644.8169411505937,2648.1360963065713,2658.0900220491408,2661.3988317596754,-3.0369189914126626,0.04798249647192263,0.4903420315008517,0.22209496875074675,0.24536011652003364,-2.716882682837446,0.06608042733624624,3.3159745846341373,1713.032381679049,0
1699,6.947497617706853e-06,-6.327569689814421,1713.028915448515,1716.3467184587462,1719.6639729285996,1726.295923148836,1729.608531458105,1732.9262207744844,1739.5505635304428,1742.8744697676868,1746.1957442364542,1752.8219336587615,1756.1392998597282,1759.4562343439559,1902.0447852936848,1905.3629694794092,1908.6750573058878,1911.991452879159,1918.6168404048162,1921.93902680253,1925.2605496428612,2641.5079096802497,2644.824269503746,2648.136903151546,2658.0826623302246,2661.3999856284618,-3.0746261952140754,0.046206897513270194,0.29486954767639684,0.281328741998234,0.17445027070489494,-2.7407348838058527,0.06452291262237189,3.3159812947621217,1713.031286353286,0
