,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
10,1.1364609614374256e-05,-6.923769167829844,1703.447380435273,1731.1249400817076,1758.7562761313773,1786.4111439967257,1896.9888449624273,1924.642272937171,1952.2864968566848,1979.9296974497881,2007.5449774922324,2394.5839884835004,2422.216764785523,2588.0718125551584,2615.7482166448995,2643.3750902535285,2671.028194193497,2698.6668835690234,2726.292185951384,2753.9414855678206,2892.158693912266,2919.8110564703943,2947.436840121373,-3.7308090975089736,0.023973431144203253,0.49965342433380266,0.23164094415834202,0.38763238415684365,-1.4676797901968257,0.23045957991776647,27.643929627358354,1703.4771881593858,0
11,1.359991926872825e-05,-6.920584644429315,1703.4625345372922,1731.1267990890874,1758.7568058303675,1786.41297108249,1896.989030829796,1924.6396828422558,1952.2891560051698,1979.9332913412702,2007.5492622038203,2394.5805551148046,2422.216360124206,2588.069059992229,2615.750363764095,2643.3757580005413,2671.0259719654764,2698.6598200179874,2726.3054122276603,2753.9454187268366,2892.152976178228,2919.813684430593,2947.431391782238,-3.757190489774973,0.023349248261005366,0.5528514453231077,0.2470216015480171,0.387060343071552,-1.4556668518648475,0.23324477231726257,27.643816617647264,1703.480864106352,0
12,6.563402818251268e-06,-6.908351077914176,1703.4930337500334,1731.1077708713358,1758.7655402858632,1786.3885576287992,1896.9991889740293,1924.6261840738987,1952.2790435007312,1979.929126610287,2007.5551305479812,2394.583544462369,2422.216467179763,2588.078443486538,2615.6814930954392,2643.36522885621,2671.02397529429,2698.659653434106,2726.299816297773,2753.939216054932,2892.151208794758,2919.806575522337,2947.4726628989497,-3.7761187679475037,0.022911443709267922,0.11767348284641659,0.3201771623938148,0.3181983701063431,-1.453947613073694,0.23364612068564783,27.643814126298732,1703.4778521487297,0
13,1.2854466198116741e-05,-6.915709864878208,1703.4661476266836,1731.1457419157032,1758.7643084324216,1786.4138712130502,1896.994379363243,1924.6118047587252,1952.2686353809258,1979.9190964359266,2007.5476233434856,2394.583451482185,2422.209301816709,2588.082573038031,2615.76006792437,2643.3710338495594,2671.0298277335855,2698.6610658397008,2726.2991835500075,2753.9574009862013,2892.166820370458,2919.8238660874467,2947.450768197306,-3.7476980959546102,0.023571943805641423,0.5838798956678837,0.33738613125202965,0.1633926867724489,-1.4793201065227433,0.22779251038859435,27.644081071109312,1703.4767683944938,0
14,1.716178322899293e-05,-6.920067831212847,1703.4868763392792,1731.1376109750563,1758.769297528778,1786.3712889742646,1896.98301973783,1924.6182944942448,1952.2850671349593,1979.9374293275507,2007.557021211292,2394.5850659017697,2422.2175168651274,2588.0872889981206,2615.746650230977,2643.3615154928725,2671.0223243779046,2698.6646277536206,2726.2935079417175,2753.9440889645075,2892.153388377172,2919.7958763741253,2947.431615847117,-3.7618756782879625,0.023240108501084464,0.12547702111822212,0.26910116678281004,0.22649663784481966,-1.4681869550715057,0.23034272854775859,27.643729978099394,1703.4810815875564,0
15,7.3898892771472085e-06,-6.904817418267836,1703.4879404561689,1731.1099380318549,1758.7646279190112,1786.3998270670202,1897.0012983656923,1924.6193752294787,1952.286131123099,1979.932083525147,2007.5454395419126,2394.5809048143296,2422.2159588294185,2588.070101622774,2615.698330600394,2643.3681056571745,2671.025384190161,2698.659546070032,2726.299920988986,2753.9634788486096,2892.1733655671937,2919.7905608318824,2947.463970797451,-3.779900592345776,0.022824960288079926,0.2070906608010167,0.3144854568301385,0.40565047937859733,-1.4684197915847579,0.2302891025932729,27.643877658551563,1703.4780424586472,0
16,8.724309581744524e-06,-6.910043792204281,1703.489104832425,1731.1221409495563,1758.7706727620598,1786.3960217353733,1896.9936965598795,1924.6148560936983,1952.2838095988773,1979.931069813729,2007.539036968862,2394.586121245525,2422.222328530132,2588.069547129015,2615.692822175359,2643.3761670945323,2671.0226747830347,2698.6582210947513,2726.3022752399197,2753.9536155059855,2892.164171004357,2919.785171850584,2947.4699966758635,-3.7842902932224054,0.022724985130950764,0.21469464956121762,0.27973503230812646,0.4564723456574076,-1.4294011860876465,0.23945226666977934,27.6438186884134,1703.4787795187387,0
17,1.4830331237586022e-05,-6.918788226067783,1703.48276658702,1731.1198805225704,1758.7641811103883,1786.3791841281952,1896.9925175137307,1924.6128637806648,1952.2839186653712,1979.9050447722605,2007.5540551526535,2394.584818303611,2422.2255833389468,2588.083927918328,2615.702628406632,2643.3743762700883,2671.02457734674,2698.6639997041852,2726.3065103146887,2753.954346266565,2892.1617370045337,2919.798888745955,2947.4698764390605,-3.7493608773917333,0.02353278138334207,0.34098890224659195,0.3455509159468213,0.04323409557649849,-1.4629383792136625,0.23155487807858144,27.64410508724309,1703.4723497858452,0
18,1.5036950071130698e-05,-6.914800569549592,1703.4939254760172,1731.1279820287828,1758.764761166824,1786.3858651033568,1896.9962213422082,1924.6194286406476,1952.267935264034,1979.9247140114292,2007.5450587949456,2394.586056205804,2422.2201742543734,2588.0751876127483,2615.701073382164,2643.3717003319384,2671.026021807336,2698.667459862087,2726.3094477579352,2753.949599627596,2892.154727890073,2919.772828613332,2947.467128433609,-3.7637035687374305,0.02319766692979923,0.10620289215880645,0.36486048298371054,0.10570618045758629,-1.471188719077029,0.2296523307602912,27.643813944458344,1703.4781151529392,0
19,1.3665608133360295e-05,-6.91110342088484,1703.4964983005561,1731.1160803384073,1758.7629487326374,1786.3780664385804,1896.9909572183974,1924.6137624605653,1952.2892705801253,1979.939670766729,2007.5469890443217,2394.5832749560213,2422.2103675025455,2588.079585637448,2615.6882115561116,2643.3663933580733,2671.012818192543,2698.6803735001395,2726.3050011704427,2753.9553413054064,2892.1622431492187,2919.7975479126,2947.4701927627284,-3.7335148965200515,0.02390865153774151,0.10244713914616572,0.24181460705733748,0.24480622959128784,-1.4950725726627918,0.22423233100268372,27.64393677618051,1703.4761847187217,0
