,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,TTS_6,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
876,-5.442518620933736e-07,-7.685570707568827,1743.7174227478251,1754.0780871608392,1940.4805337715902,1950.8353745824109,2665.358359939887,2675.6942189799893,2686.0505632926647,-3.4598232423948665,0.03143531795884489,0.008633204833132686,0.475844469032086,0.3023147111025022,-2.004867836882325,0.13467809399612554,10.355304750130319,1743.7242982764014,0.33022419216823123,174.31014108446522
877,1.1431809455033671e-05,-7.667766989922878,1743.7196671609909,1754.0759217607756,1940.4812010700452,1950.8335487816707,2665.3573838524453,2675.694577290303,2686.050224154109,-3.3910447563066497,0.033673477937163424,0.6023032213599356,0.5019426467672432,0.23482705148403005,-1.9843739905905473,0.13746664259857788,10.35530287066344,1743.7240905949536,0.960086773312741,232.1232144276044
878,-3.6988498945321246e-07,-7.676113699012264,1743.715615303373,1754.0770267109572,1940.4802582358889,1950.8344062929866,2665.3575518737775,2675.693402572529,2686.0526356576115,-3.34196935792148,0.035367238341935885,0.7318312956543883,0.48747355268699066,0.36004175455811027,-1.9781485857345078,0.13832509744494184,10.355320610534799,1743.7230724830488,0.5922627345873042,223.81760542443647
879,-1.7630974975392523e-05,-7.684804001133363,1743.7139106747281,1754.0769039887036,1940.4829124059374,1950.8331432286307,2665.357913416059,2675.693192303897,2686.052241359404,-3.4378215146650226,0.03213461391616466,0.22813329640268384,0.2660397524832132,0.369936539380753,-2.0342590909727623,0.13077734073033237,10.355323477573938,1743.7228484756338,0.30803346499031437,0.37782614512769835
880,-7.000308340029352e-06,-7.685264567870002,1743.7179404479266,1754.0740312198745,1940.4801892256276,1950.8350368255647,2665.3581120816234,2675.6956022919094,2686.0506746285573,-3.4251587603544134,0.032544113863895864,0.4766309255176668,0.2748207875082509,0.5797769097620804,-1.998258513927501,0.13557117308731506,10.355324767690881,1743.7229869624155,0.10458571829559601,-49.67517218672881
881,-1.515135674566823e-05,-7.699439803042994,1743.718212575779,1754.07930217162,1940.4852398348714,1950.8349584866357,2665.3572076597293,2675.6928233574454,2686.0509195914406,-3.4145288656552384,0.032891899555164035,0.572966395399391,0.33315521340164134,0.3206340135893546,-2.0179607619320543,0.13292625716535794,10.355278713115476,1743.7260375159606,0.32352947593147957,199.59051311966806
882,3.241719239968023e-06,-7.692201348724541,1743.7172704603927,1754.075947440511,1940.4783367764621,1950.8347621875855,2665.356153726319,2675.694827896929,2686.0516293219257,-3.458345575950939,0.03148180320973619,0.01402708031550789,0.4133219912955719,0.44239532273773996,-2.0095540611851517,0.13404843874415995,10.355317874843784,1743.7229123726502,0.43291072061588737,184.05746867471606
883,8.022090580124104e-06,-7.678599500417606,1743.7174941211072,1754.0779975529588,1940.4823153044654,1950.8350186889174,2665.358065516412,2675.6938547836844,2686.052358466856,-3.4049841890269175,0.03320734511827985,0.6393642893287586,0.34211031164074823,0.3826079969656795,-1.9804942653018878,0.13800101133988596,10.355306369838964,1743.7245899691886,0.8076040667443605,-40.75199445886504
884,-1.5829832666675797e-05,-7.689729621051784,1743.720317305109,1754.078742603128,1940.4805509938346,1950.8331758031538,2665.3601638455266,2675.6931087484636,2686.051974493471,-3.383943078987019,0.03391346726646055,0.661130541026052,0.5115053133549328,0.2987893290841903,-1.9800607692006325,0.13806084720864198,10.355304065089795,1743.7248248021215,0.09726124065922219,-66.00560232002405
885,-1.3148615894404733e-05,-7.689269245116446,1743.7192315398165,1754.0771596732538,1940.479234536579,1950.8326709239848,2665.361764364435,2675.6941494501757,2686.050713599736,-3.451911832639317,0.03168500201413122,0.27663443788847686,0.4618243240202884,0.4005100558302803,-2.007602159489066,0.13431034364225666,10.355323684136291,1743.723511715104,0.4449520723498374,-15.86795326667403
