,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
875,3.4801262379945735e-06,-7.701404488520564,1748.6942175612028,1937.82194365504,2673.366894395196,-3.1667339230953644,0.04214100916018554,0.20830652714631234,0.34031418633454824,0.2947625013123041,-1.7367955098961911,0.17608375615533436,21.015367239804338,1748.6895306339363,0
876,1.4553159452753667e-05,-7.677943561746268,1748.694037642,1937.8229683407642,2673.3637067977866,-3.154326034498495,0.042667147489946995,0.2223662748629801,0.40795569551386945,0.06755116890382284,-1.744278074528054,0.1747711151542696,21.01528428906208,1748.6902151534198,0
877,1.0592628993094317e-05,-7.675786121726678,1748.6937428497026,1937.8227687428898,2673.363917926681,-3.155836158080891,0.04260276345049252,0.21320215749612909,0.4027125689774895,0.07680537054310088,-1.7425876517332497,0.17506680207874722,21.015295853750295,1748.6899164235024,0
878,1.9375158517557665e-05,-7.684198927047988,1748.6939298486668,1937.8221551582044,2673.364339885564,-3.1585083595252073,0.04248907225500915,0.2942405287528916,0.33175002230655926,0.17973342814174953,-1.7501396820449968,0.173749672045836,21.015307999650478,1748.6897003036536,0
879,-4.86250557492494e-06,-7.677395596316073,1748.6922926888997,1937.8222559527019,2673.364696179139,-3.1486958019338562,0.0429080509881687,0.07610227781430537,0.2645840293229349,0.2889285643589097,-1.751030445621864,0.17359497107770788,21.01534263752932,1748.688695010562,0
880,-4.257776708282514e-06,-7.694017016840862,1748.6938852598707,1937.8221248154891,2673.3647392186763,-3.1709569864076976,0.041963420258973684,0.055683782991933696,0.3630096947181367,0.3106206326022132,-1.74757924533078,0.17419511710881663,21.015318702745088,1748.6896193495154,0
881,-4.868610155626423e-07,-7.693434756145671,1748.692829359009,1937.8235766721352,2673.3640562476135,-3.1700419266468765,0.042001836870346074,0.08186295269543932,0.5049867400062957,0.14278603305185467,-1.7381520385465052,0.17584505543404252,21.015307678611528,1748.6897184374488,0
882,-4.943950166040938e-06,-7.693304888842917,1748.694380913014,1937.8212239357308,2673.365435529427,-3.1392237261788654,0.04331641024938744,0.21095821900067835,0.27854127663380646,0.21635565211497343,-1.7507905323447353,0.17363662381243444,21.015334792136358,1748.6894321316488,0
883,3.146940841777931e-06,-7.686789747184497,1748.693727815002,1937.8221793912167,2673.364475533377,-3.1556765751791973,0.042609562665608926,0.1314666918273546,0.31239633052667126,0.22629117946323163,-1.7544073425868028,0.17300974742286865,21.015314413562617,1748.6895729402588,0
884,-7.218445054588231e-06,-7.704377587691256,1748.6924647536348,1937.8224755020938,2673.365912755729,-3.152632015258992,0.042739487714255994,0.07938226625184955,0.3095556419052192,0.20528355654410935,-1.7567832347091132,0.17259918284858433,21.015367709039328,1748.6887881441241,0
885,-1.330550461861033e-05,-7.684806745341786,1748.6928911438188,1937.821492592068,2673.3635170205594,-3.1559446872199675,0.04259814006014378,0.25357684866375135,0.35253634009022106,0.19545298632982777,-1.7465025885695784,0.17438276645826375,21.0153102426305,1748.68881929901,0
886,7.375900326132438e-06,-7.692273205480262,1748.6930362653993,1937.8230879791015,2673.364540546419,-3.1600045494393507,0.042425548067614484,0.2221927235263788,0.3267507503931293,0.22707696586146997,-1.7425449790014576,0.1750742728168353,21.01532001654668,1748.6895679713152,0
887,-5.513988233307979e-06,-7.676863532204047,1748.6937477262532,1937.8218066856543,2673.3645849661298,-3.1459640504982445,0.04302542536387276,0.23820468932517208,0.2667323768367169,0.2741949231337617,-1.7549268784874328,0.17291988599306424,21.01531974367852,1748.6893976543583,0
888,-6.230146339531787e-07,-7.6878698351258485,1748.6937218540697,1937.8222898328813,2673.3645538502483,-3.1392283867771584,0.04331620836947021,0.2602288141057664,0.23230140877150451,0.2850050429708135,-1.7488980185210365,0.17396554466876146,21.015315533698022,1748.6896140837348,0
889,-1.0495915952383913e-05,-7.666984071608903,1748.6924823390264,1937.8205928763493,2673.365183137715,-3.15970365449934,0.042438315621105005,0.12432378415401604,0.2731862409421293,0.3031575785613536,-1.7469962341275065,0.17429670442404055,21.01536474063109,1748.6879756998803,0
890,3.4684968799087348e-06,-7.706454475257106,1748.6948751479683,1937.8240379654678,2673.365494237275,-3.1761283862187617,0.04174697079112563,0.05667406424471645,0.42554466554183423,0.29234589136826994,-1.739825126083737,0.175551097240778,21.015305575200586,1748.6910706216936,0
891,-3.425068257818435e-07,-7.701087874586786,1748.6944915219487,1937.8237720737916,2673.3647958661727,-3.1670809439127354,0.04212638788983125,0.12067461567535642,0.3818467081236272,0.2849528150315832,-1.7476757645128262,0.17417830474996743,21.015296961395993,1748.6907735026418,0
892,9.762759331690582e-06,-7.672967560635957,1748.6923546581368,1937.8231405789265,2673.364300257709,-3.15708058611701,0.04254978035090333,0.06204118682922265,0.34550716523080216,0.1521850501736266,-1.7469887351830446,0.17429801147024765,21.01532488230279,1748.6891922442414,0
893,-1.0219228730350734e-05,-7.6977458260329605,1748.6939282006667,1937.8223645304095,2673.365154712053,-3.1620534248677825,0.04233871239275848,0.20444505333142807,0.3669677057628882,0.16815187697452028,-1.7564221576708794,0.1726615157031329,21.015326202907517,1748.6897195630102,0
