,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
1656,7.618160315821659e-06,-7.2502704692166695,1686.067904267409,1698.5879231142112,1723.6208561929132,1736.1439924861486,1873.8418789040916,1886.3617536660913,1911.394640205325,1923.9092584568918,2424.643147470171,2437.1669518002345,2612.466316139815,-3.1239587936595483,0.04398270486179283,0.22078888552645679,0.28225853334893203,0.2475766959659702,-1.7684606338058722,0.1705953955883844,12.518587847656907,1686.064044698508,0
1657,4.794240528426077e-06,-7.257088767627459,1686.0692560195282,1698.5863625985432,1723.619967474308,1736.1401706037393,1873.8438512635264,1886.3602869268411,1911.393763716111,1923.9100470789876,2424.6433067608473,2437.1639661457534,2612.4664765833054,-3.102165487303893,0.0449517544669285,0.4965712949134966,0.16852378755529562,0.34822034375508926,-1.7643975805834766,0.1712899437978361,12.518588296817521,1686.0633821206889,0
1658,-8.112072347742346e-06,-7.251438516892422,1686.0668448424592,1698.5861181732166,1723.6228118256188,1736.1423742830937,1873.8417933667502,1886.3598470429235,1911.3960535514261,1923.9091837971741,2424.642986521157,2437.164305330617,2612.4679724326847,-3.1299115532754826,0.0437216641197244,0.3687613069863812,0.3542907173337697,0.20909560927489879,-1.7572318605062076,0.17252176776910033,12.518594824503081,1686.06348030689,0
1659,5.291886991291716e-06,-7.2558470488180955,1686.06525131553,1698.5879629077365,1723.620842291922,1736.1406877125203,1873.8449854553949,1886.3623727633662,1911.3939863921194,1923.9086644442723,2424.6439883233206,2437.165109570295,2612.467085627965,-3.1378471914961708,0.043376077848263445,0.19424133347886782,0.3030194831743027,0.39733442097039906,-1.7529316554493117,0.17326524415205435,12.518602683472619,1686.0633468136643,0
1660,6.500041165553074e-06,-7.255786459077504,1686.0653398343552,1698.5881082180151,1723.6207910242226,1736.1406925189267,1873.8450621673067,1886.362399745812,1911.3940404340258,1923.908657580444,2424.643917305173,2437.165238115649,2612.4670079588636,-3.138147129924859,0.04336306964655829,0.20414385870780125,0.3009742701857312,0.39593869534092874,-1.752968447753796,0.17325886944170585,12.518601628022992,1686.0634015422377,0
1661,-6.038189581346901e-06,-7.2375031024193,1686.0663308565422,1698.587723866693,1723.6221615799166,1736.1419940812452,1873.8438583700813,1886.3599606676917,1911.3929035304227,1923.9099497740615,2424.6424622358877,2437.1654806268402,2612.468723883433,-3.118880876891595,0.04420661338961673,0.5153486743864665,0.24592950310816164,0.39660699715248815,-1.7469868567918365,0.17429833887040747,12.518602243748036,1686.0634132640544,0
1662,3.3665598807968363e-06,-7.2569251763088545,1686.065788072661,1698.5885611235808,1723.622387015237,1736.1422547383377,1873.8433883256116,1886.3564912615382,1911.394657172846,1923.90878831147,2424.642550216786,2437.164256259936,2612.467778245401,-3.0716683000047476,0.04634377500891018,0.7351094282200887,0.10519415009857358,0.21472624334896828,-1.7462706182584862,0.174423222774999,12.51859177437886,1686.063246675954,0
1663,3.634317232947127e-06,-7.260876893333343,1686.068138997663,1698.5865434789512,1723.620575361477,1736.1402864850884,1873.8428236137013,1886.363455335876,1911.3927921751808,1923.910145297917,2424.6442591771324,2437.164264448876,2612.4662079512286,-3.140044353260525,0.043280878211326895,0.12248261174116415,0.3334141491855662,0.33937891199540493,-1.7648793974439012,0.1712074332939653,12.518591995277186,1686.063476872139,0
1664,6.087696141984454e-06,-7.253899294577687,1686.0669058977655,1698.5883494544762,1723.617539502002,1736.1391809481513,1873.8439057860332,1886.3591658964872,1911.3961134204637,1923.9087572471558,2424.641785161476,2437.166407523363,2612.4673248925606,-3.1256891325908343,0.04390666568101685,0.15161223120504658,0.23348064178174632,0.24140033160976637,-1.7661775942805655,0.17098531655246996,12.518610648977887,1686.0626519231712,0
1665,-1.1422492280078472e-06,-7.252140213431836,1686.0671582012792,1698.5883240411795,1723.6173713908333,1736.1390584256767,1873.8438569919274,1886.3605955357937,1911.3973604442463,1923.9085501084546,2424.641895902594,2437.1656022477137,2612.468902440421,-3.1367944232067244,0.04342176685329065,0.08927220118219675,0.30618308853150467,0.25922760004401346,-1.763836619994973,0.1713860576610379,12.518615579617261,1686.062825892098,0
1666,-1.2612178848119557e-05,-7.245253498789058,1686.066204484599,1698.5875411960162,1723.6236467396598,1736.142476492834,1873.8445324721142,1886.3607760963619,1911.3931173193257,1923.9099751477481,2424.643700488493,2437.165227117802,2612.4672742503267,-3.135877241533417,0.04346161077133368,0.42790362703510004,0.26418544613345896,0.40857577985240434,-1.7529242622403722,0.17326652514294164,12.518590083244241,1686.0639763102345,0
1667,-6.5087743763186695e-06,-7.259016931541921,1686.0657167731642,1698.5861717731077,1723.6227192005313,1736.1404696809266,1873.8448482675244,1886.361008809747,1911.394823573732,1923.9101303904013,2424.6421879191757,2437.164356181625,2612.468735379755,-3.1450535552522965,0.04306461764860838,0.09680042024389619,0.2522371082344359,0.4827423164429354,-1.7579107096964364,0.17240469124989966,12.518600872017588,1686.063412125178,0
1668,-1.3965421895895607e-06,-7.257166547167231,1686.068711322188,1698.588042475905,1723.6229371708152,1736.1424644523352,1873.8422471237013,1886.3603801023423,1911.3955471456513,1923.9101512988505,2424.6432017716584,2437.1641470224317,2612.4672213266913,-3.131897085120149,0.043634939489062295,0.06498785849517578,0.29913221612932905,0.14103412248619862,-1.7701644682706712,0.17030497675691045,12.518575088463852,1686.0643956741633,0
1669,-2.9237126006716404e-06,-7.258898624708255,1686.069011144175,1698.5885839743862,1723.6223439524867,1736.141856151035,1873.8429017352232,1886.3611811840372,1911.394553365492,1923.910297657117,2424.6437497305947,2437.164833063176,2612.468684400525,-3.1313530174447424,0.043658686308509276,0.08872202630959033,0.33941474202349875,0.16931808391395853,-1.769222326857852,0.17046550373600572,12.518590929976849,1686.0642760176795,0
