,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
4601,4.445163412942415e-05,-6.782087258813783,1690.055040640592,1699.0192389630333,1707.9593735538306,1716.9133863900292,1725.8897355353986,1734.839514166145,1878.074271130633,1887.0299585069763,1896.001678043025,1904.9249123784737,1922.8485229224655,2424.2310518972577,2442.1450931019954,2612.2483453471073,2621.221319154849,2630.1684669668,2648.079526540512,-3.4120271336962897,0.032974289287013556,0.8549197687030982,0.27680667451047625,0.3531129442242802,-2.0201890108182843,0.13263039413153194,8.95338790908453,1690.0602171961534,0
4602,5.253244374861153e-05,-6.782548016591677,1690.0542676837194,1699.0140455412889,1707.9773801995696,1716.9174190806261,1725.8895347241075,1734.8421262741635,1878.070621230584,1887.0243432381699,1896.0166215415184,1904.9277274792996,1922.8426283868891,2424.245186456184,2442.135365491909,2612.2570358439293,2621.2355957935383,2630.169442892506,2648.0829526921116,-3.394757321839677,0.03354869471985797,0.8484578783871927,0.3097937887050781,0.4064313445515193,-1.9786501209190834,0.13825573993573279,8.953423491291359,1690.061827928559,0
4603,7.973730679742866e-06,-6.779214233954246,1690.0510083357926,1699.0360593948003,1707.9712578228969,1716.9165682329094,1725.8779183418656,1734.8451719136438,1878.087164318493,1887.022242212206,1895.9854092334751,1904.93206554458,1922.8513360098787,2424.22786125111,2442.138795922872,2612.2498550296973,2621.2268660196423,2630.176695809329,2648.075885238691,-3.3967088805728918,0.03348328631661919,0.855998514009777,0.485171577413382,0.20482923565190436,-2.008882276446549,0.13413852069399354,8.953370138205344,1690.06230245158,0
4604,5.563977505106727e-05,-6.772156230967404,1690.0615125582328,1699.0119685274544,1707.9653687926216,1716.9160793992057,1725.8839964677027,1734.8339569038806,1878.077904222487,1887.0300023588063,1895.9977639666495,1904.9224850150522,1922.8475194022985,2424.246406095058,2442.1470107083064,2612.2684018017403,2621.2297469377863,2630.1775695026668,2648.0840423095633,-3.4562998530373115,0.03154627217626222,0.7263589913550624,0.4603997811070599,0.20293675196621552,-2.0798678647325217,0.12494672097625927,8.953502280053875,1690.0584766147608,0
4605,6.90473019855847e-05,-6.767002088109209,1690.0603361121582,1699.013277888788,1707.965863476513,1716.9172097800908,1725.8789581149185,1734.8331134592365,1878.0775542362042,1887.0302432649075,1895.9871663677845,1904.9228725821647,1922.8379362379417,2424.2493514128555,2442.141817793985,2612.261414290028,2621.2321309552945,2630.1782257535374,2648.0805482596925,-3.3922741180885723,0.03363210648577416,0.8560826664246961,0.49420532061950295,0.2669845100603101,-2.022830926342437,0.13228045828830745,8.953500438742893,1690.056570932129,0
4606,2.3868119408356557e-05,-6.785948319410377,1690.051187698497,1699.0317667175684,1707.9648913781832,1716.9193224120688,1725.8992647273894,1734.837471562203,1878.0781251886065,1887.0279407748892,1895.9854649594806,1904.929389861351,1922.8535676148867,2424.228468328784,2442.143150352383,2612.2679669578306,2621.2221698683766,2630.167018104224,2648.078741386576,-3.5535183553608567,0.028623753744634432,0.26179013848408406,0.31733307175728886,0.2993156080393029,-2.094630499294289,0.12311572659832243,8.953385720225613,1690.0624548359854,0
4607,3.451616248324793e-05,-6.772666415293866,1690.05806365336,1699.023790759613,1707.9636599943065,1716.9149373437995,1725.8859241881848,1734.836440574897,1878.0817001620478,1887.0242719701046,1896.007536081911,1904.9307737946403,1922.8497186994357,2424.246619004671,2442.148295304327,2612.2695331821915,2621.220386719297,2630.1723063449977,2648.0782625813517,-3.4542805194914443,0.03161003898347273,0.7405062142754221,0.3180819803834094,0.28136956326404094,-2.0438508236978383,0.1295289560885352,8.953440047919212,1690.0617144734695,0
4608,2.565445577236848e-05,-6.774898466960838,1690.055532085378,1699.032938819023,1707.966711465767,1716.915579118469,1725.8857050385743,1734.8447352166893,1878.0729498167318,1887.025032043581,1896.0076871261533,1904.9196820797465,1922.8423275560367,2424.253171230883,2442.1448427656705,2612.2620625538284,2621.229160418302,2630.1650064452083,2648.0818508767293,-3.493273311751241,0.030401196531635966,0.7150600031078499,0.27385280047554894,0.23078725310161374,-2.0384062133128698,0.1302361141411451,8.953431750726661,1690.0616377139104,0
4609,2.552698971355145e-05,-6.776256422855661,1690.0555482697039,1699.0333423641791,1707.9671238938188,1716.9159915222174,1725.8854946916122,1734.8451137479337,1878.0726840623938,1887.0256519511522,1896.0088178228625,1904.9199529532266,1922.8416664242059,2424.253106303494,2442.144765633234,2612.2623270703025,2621.227806245161,2630.164671980629,2648.081247093045,-3.487671115602271,0.03057198795461078,0.7473568758125319,0.2723955004398082,0.24683435910329066,-2.0334590214685506,0.1308820135596784,8.953424735965376,1690.0619530045867,0
4610,8.743295924570903e-06,-6.77616727610996,1690.0591973242288,1699.024822112693,1707.9616627448027,1716.9093158645303,1725.8859611231808,1734.8369635430925,1878.0778426781205,1887.029449298205,1896.0177676279864,1904.927010983085,1922.8424817048776,2424.2490568399708,2442.1474025619273,2612.267851593228,2621.225845042423,2630.1746818520714,2648.0847066465817,-3.482704848346321,0.030724194253085042,0.7767993092197111,0.36257009428945564,0.1954712408179209,-2.0630363241174314,0.1270675652538957,8.953473672671638,1690.0608747004762,0
