,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
5320,2.7984278225144446e-05,-7.640489005728616,1875.9954530084487,1882.5485662556962,1889.0640523863399,1895.5683958681966,2580.953091789397,2587.4880719670473,2600.543711706086,-3.9562496342884064,0.01913474217322741,0.2471518079525391,0.46039091922741937,0.31791961709937766,-2.1094159715197613,0.12130879353917526,6.527364436219419,1876.0030887548464,0
5321,2.9453662414450247e-07,-7.630951130466467,1876.002538115359,1882.549582946732,1889.0590435428082,1895.5756048107767,2580.9507860755357,2587.489131095913,2600.5429699391234,-3.8650539537405386,0.02096179143948465,0.7883681361656251,0.07633203317432824,0.2821750037917534,-2.1129700757950607,0.12087841469610243,6.527334353266893,1876.0057117907302,0
5322,3.2417003135431406e-05,-7.641324608245112,1875.9981809812953,1882.5481147640141,1889.0618512694157,1895.5807198866041,2580.940505461393,2587.486280903453,2600.539937626545,-3.923861895072579,0.019764618285421375,0.2119775378459176,0.4199616756113018,0.3803190695075056,-2.1266408099860965,0.11923716214396925,6.527280854950741,1876.0062550484536,0
5323,1.437750325021727e-05,-7.635428805099953,1875.997976661908,1882.544953038771,1889.0654793976776,1895.5758323598618,2580.940252098566,2587.4853353292315,2600.5435977932207,-3.8931473716464757,0.020381098094629416,0.1975086481659265,0.24891206792669363,0.30200364186440787,-2.1954365570336636,0.11130995775155608,6.527299334400031,1876.0050641413754,0
5324,2.0837179094365213e-05,-7.635079204553091,1876.0010121013602,1882.5491340419035,1889.0497183636728,1895.5800208399176,2580.935331919763,2587.486334178617,2600.5413819602145,-3.9742978931483175,0.01879249120068328,0.10446078619530927,0.36992050674785015,0.3212762521597119,-2.1096114716122165,0.12128507997690006,6.527290180570153,1876.0040018707168,0
5325,1.8829919173184224e-05,-7.620607156019413,1875.9991422723003,1882.5496372930638,1889.067950139677,1895.5781241715458,2580.9666499745354,2587.487825512898,2600.5385653514013,-3.9065112862032167,0.02011053873389261,0.4800584223548444,0.34004302223847627,0.3671658609010604,-2.1473770147980473,0.11679009505467405,6.527346251259178,1876.0077495421217,0
5326,1.6288610416196875e-05,-7.628537648617228,1876.0008778840615,1882.5479839107306,1889.069555962356,1895.5802464468231,2580.962033202486,2587.4844584544408,2600.5455531942207,-3.9401289675093683,0.019445706719298433,0.33612452499443024,0.3477212587330405,0.34880796666488334,-2.1230573891953295,0.1196652055415946,6.527335404111262,1876.008669154565,0
5327,2.1421795468009307e-05,-7.63391615911225,1876.001222410433,1882.550808045099,1889.0582901321548,1895.5713883890187,2580.9470646830005,2587.4852116205357,2600.5429046975487,-3.905462596080064,0.020131639519392997,0.7753400177701765,0.16830957357265475,0.2690243942381323,-2.1158609041112904,0.1205294805494341,6.527322311241546,1876.00446257473,0
5328,2.234952256337764e-05,-7.633736319335102,1875.9974150145347,1882.5509289241074,1889.0577171189248,1895.5714290674307,2580.944995439676,2587.486968513113,2600.547277569396,-3.89189038582602,0.020406732953891695,0.6404967719399169,0.09156598134218275,0.1970521676596073,-2.104599245121738,0.12189451430322613,6.527345379657546,1876.0033392630799,0
5329,1.2014036178955652e-05,-7.6357004824566435,1876.0018845834918,1882.545755596514,1889.0580622355403,1895.5754513147244,2580.9411778321687,2587.488730544777,2600.538949805987,-3.9422522449585236,0.01940446189134037,0.07861146119954175,0.24344709023345334,0.46093707325037325,-2.143571317199686,0.11723540966784303,6.527304443319022,1876.0043325492359,0
5330,1.078874318100447e-05,-7.650636811345526,1876.0033093839443,1882.5482987542937,1889.0620084979234,1895.5780254357173,2580.9419400832967,2587.4868865803214,2600.54271195971,-3.948018016016089,0.019292902129660817,0.050629657526237645,0.15129236449900496,0.4827827580316535,-2.1459090661519813,0.11696166281210321,6.527288836628269,1876.0069584659088,0
5331,1.783126199815951e-05,-7.636125582377775,1875.9955051442223,1882.5483602725233,1889.05874379835,1895.5788866576627,2580.945652989225,2587.490786433038,2600.5384113000214,-3.925131399878084,0.01973954292754044,0.01876179245209761,0.38790492848502267,0.16343185643346958,-2.1526129405583525,0.11618018889249843,6.527322477010187,1876.004377039091,0
5332,1.5802951960763055e-05,-7.631345442359851,1876.0035889255453,1882.5492802773451,1889.0610896563571,1895.5791445148373,2580.9420968662025,2587.4858463240585,2600.538786248726,-3.9523590561165447,0.019209332388896407,0.3758441682912066,0.10314395554862887,0.22629536675510376,-2.159931428295384,0.11533302934933726,6.527270285835241,1876.0073653348716,0
5333,1.961111214235286e-05,-7.6455991618836165,1876.0010731476348,1882.5464909148893,1889.06240471065,1895.5686294737038,2580.9548403414074,2587.4906779042158,2600.536802804033,-3.87253301986959,0.020805601620176733,0.6158715057288676,0.34289623370985267,0.35120235094001684,-2.1063554598698637,0.1216806292285261,6.527350474155567,1876.0036944183676,0
5334,1.3709481831953299e-05,-7.628093948272458,1875.99859144033,1882.5498505753712,1889.0548585311278,1895.5716746711014,2580.963041665097,2587.486343844689,2600.5376947919995,-3.889452639813728,0.02045654006965754,0.46196968846368164,0.1615709827325731,0.2530742079211923,-2.1281141324253756,0.11906161670665692,6.527373315260779,1876.0027668889456,0
5335,7.958600190066647e-06,-7.626060804664125,1875.9997023939393,1882.5466346540718,1889.0525193103972,1895.5690075561101,2580.963508948075,2587.488820641339,2600.544904891386,-3.949721180720015,0.01926007110597392,0.3193373048758779,0.22397203739294058,0.20852421454268066,-2.1439293931817143,0.11719343799836959,6.527421435075353,1876.0009055828789,0
5336,2.1373694293192586e-05,-7.636309643447335,1876.0010432612687,1882.549897698835,1889.0649179445904,1895.5740680876413,2580.9605832645025,2587.484464578779,2600.539482953217,-3.9113792858491165,0.020012878536218835,0.06631935650365059,0.34176381066995165,0.373559915776043,-2.1424052396202518,0.11737219498621965,6.527331382623053,1876.0065394275327,0
5337,2.5026366398422403e-05,-7.638272501131397,1875.9970388900588,1882.533567153352,1889.057624932862,1895.5685966763806,2580.9565860069333,2587.4830547738125,2600.5391973283904,-3.9033092754586995,0.0201750361005201,0.7512933787312799,0.19699505083810576,0.2380075711830778,-2.0943483620748062,0.1231504670276531,6.527390877214971,1875.998158967427,0
5338,2.1911473352590933e-05,-7.637698657981375,1875.9981649873068,1882.5363999702258,1889.0594012888478,1895.581218094708,2580.953471700008,2587.4813183603756,2600.538968169793,-3.9183265727524064,0.019874325169532303,0.3399077109400118,0.20799646546870987,0.28027605178229265,-2.0539921310300118,0.12822200145199295,6.527333700761606,1876.0027837881266,0
5339,2.0164621903027216e-05,-7.612595546279264,1875.9952990088955,1882.541415474693,1889.061821951322,1895.5771357846447,2580.948350669774,2587.4874653451675,2600.53311330603,-3.952400255431601,0.019208540993861874,0.2053152934617831,0.30338323649670085,0.40207411331500786,-2.055573989915453,0.12801933267864812,6.527317244176954,1876.0029488550608,0
