,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
2125,-7.372220800038198e-06,-7.220059445307169,1933.1661884312405,1953.5469841023853,1973.930572025458,2646.4954256803708,2687.2546621734646,2728.018895947633,2829.9247238086627,2850.306248530777,-3.0645286247599337,0.046675838514311264,0.520396170291197,0.2093025923708356,0.31849836319274827,-1.2728666041866195,0.28002774142952663,20.38083283264506,1933.1668294591311,0
2126,5.701791722833709e-06,-7.230344984606142,1933.1656385429735,1953.5449490041046,1973.9306066744575,2646.4929671451027,2687.26124181024,2728.0171542041485,2829.92025621363,2850.2989936703943,-3.0780924307600808,0.04604701078525281,0.29131991406439006,0.3505518856875889,0.16379542229514987,-1.3009418550074712,0.2722752284423375,20.380787184637295,1933.16650109796,0
2127,1.63311115832602e-06,-7.230970111919649,1933.1650604089748,1953.54730441585,1973.9297690242654,2646.493645624218,2687.2581594314024,2728.0178088075763,2829.9217165428204,2850.298645900856,-3.057289151413876,0.047014973099868664,0.5442713704485337,0.29119467623161466,0.15972437781976678,-1.2894534143013914,0.2754212832899156,20.380779275561043,1933.1667396521345,0
2128,-1.5027369363078668e-06,-7.228598266469174,1933.1638996823474,1953.546318484542,1973.9304061863095,2646.4947677786745,2687.2574808534437,2728.0185552299586,2829.9212187874655,2850.300818683511,-3.054875855760002,0.047128571147822415,0.5227571087288437,0.1927597860045147,0.2947395243443025,-1.286232342287845,0.2763098654026676,20.380808302154325,1933.1661725436147,0
2129,8.021564806463926e-06,-7.221098255290823,1933.1662003656993,1953.5431768296803,1973.9305115771363,2646.493891377982,2687.2608283864656,2728.019048108695,2829.9253901110933,2850.301430196846,-3.0939067504774695,0.04532453641209542,0.2686741272328587,0.3979543305853934,0.22382309050306892,-1.2793925993608122,0.27820623178651366,20.380856980519734,1933.1658137385118,0
2130,1.280357099404792e-05,-7.2281620545401735,1933.1659605903387,1953.5470939841,1973.928895549199,2646.4961142939724,2687.2601310219743,2728.0188253294978,2829.9242254600254,2850.3013305521795,-3.0852039808149114,0.04572070680194425,0.2647957254423414,0.35319503195419477,0.22363440054256767,-1.28798403692215,0.27582627856592434,20.380834789982178,1933.1666393018631,0
2131,-1.8687778088071203e-06,-7.228653132377216,1933.164456890831,1953.5431348002953,1973.9314475010592,2646.4942117510673,2687.2573962935357,2728.0184280257163,2829.922016908978,2850.302847991805,-3.066365748485294,0.04659016794179122,0.4432669409752893,0.2437382901752987,0.22582805047246413,-1.293241282259872,0.2743799972079767,20.380837567792593,1933.165489237674,0
2132,1.8738777874269764e-06,-7.2257567641509,1933.1647122080249,1953.5429402691916,1973.9302126635985,2646.493858845865,2687.2579813562406,2728.0179246296607,2829.9223715900957,2850.3025345051433,-3.0675746567822575,0.04653387873231102,0.42540165735399726,0.21657169623179273,0.2547629939067704,-1.2975131230490953,0.2732103895117325,20.380845802607293,1933.1651047673174,0
2133,-1.6805426480253885e-06,-7.224257013711745,1933.1653094380756,1953.54707604391,1973.9300732063223,2646.4945641910285,2687.2599445111323,2728.0194914435256,2829.923603450622,2850.3012309154146,-3.102693950859922,0.04492800537872968,0.1779818904432766,0.4093209970967848,0.1701768665712844,-1.2911224332403897,0.2749619833486716,20.3808238270992,1933.1667570373618,0
2134,-1.2425034440213597e-05,-7.221993277488879,1933.1639610966279,1953.5460544010407,1973.9317634186866,2646.494800645125,2687.2584845703955,2728.019346836092,2829.9224999681287,2850.3040023041403,-3.0946848275504966,0.04528928414573619,0.09739006865419764,0.3744657853822484,0.19817041636129207,-1.2850723633194043,0.27663056500174266,20.38083637982606,1933.166391016943,0
