,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,TTS_0_21,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
2308,1.444493195269543e-05,-7.640155106097165,1687.6521838196097,1703.5742849810342,1719.4970861609459,1735.4215445125872,1846.890540357632,1862.7994707386265,1878.735089152335,1894.6657979143638,1910.5817631981788,1926.4933170204692,2022.043077326567,2404.2043224146837,2420.125559772045,2436.044184260714,2595.1805472106103,2643.076219161257,2658.988381923875,2754.5099012631863,2834.140762970429,2850.0886465332082,2945.6022969691317,2961.5253954565487,-3.818008218472803,0.021971519807823626,0.6570502309718319,0.25703159058953595,0.22825863232695887,-1.703575154263593,0.18203156838829251,15.923372974709014,1687.6499589123919,0
2309,1.5902194962649497e-05,-7.640965758405622,1687.64936233775,1703.573850582666,1719.4970737364138,1735.4223263549509,1846.8907502463555,1862.7987807765364,1878.7363428690276,1894.6682277914736,1910.5791432592002,1926.4972391302092,2022.0420316309123,2404.2043372258977,2420.1241568835567,2436.0444098663793,2595.1848310791984,2643.078830983433,2658.9894131129677,2754.5117333013036,2834.1387991854044,2850.087582568405,2945.6009298562453,2961.5265010425505,-3.818331518918957,0.021964417553809883,0.5593023092515225,0.24750519707569185,0.2198795165318881,-1.7012985947793333,0.18244644614950958,15.92337934650752,1687.6500158830179,0
2310,1.3376106671386846e-05,-7.634891731081312,1687.64742566015,1703.5710111992157,1719.4979974925868,1735.4214077015363,1846.8897014794748,1862.806744922954,1878.7372831270761,1894.6688984362215,1910.5810763810587,1926.4945024246406,2022.0493508358122,2404.1993833183783,2420.128009881203,2436.0470491077513,2595.182551382258,2643.0548482891527,2658.9842559730328,2754.529277027903,2834.1445034806643,2850.0690706157925,2945.602682637405,2961.526351697265,-3.8410933847119444,0.021470113412987473,0.5273271895737375,0.24816850798438117,0.2957269348431808,-1.7143238851663984,0.18008543799699028,15.923337776292234,1687.6509035262254,0
2311,2.482195241678384e-05,-7.648368065226139,1687.6374906767785,1703.5738876087864,1719.4980549377674,1735.4223752833168,1846.8896030806702,1862.8048365677207,1878.7382590239454,1894.668505086189,1910.5800318858712,1926.4983623698927,2022.0471262183653,2404.198172160232,2420.125517955711,2436.0461385841236,2595.1846300788206,2643.0735236485407,2658.98890275418,2754.50460485707,2834.138947212357,2850.0703331677482,2945.601229209512,2961.5256140006254,-3.8157107501330287,0.022022056710196084,0.4315722419715012,0.29742358092126353,0.19071989933212308,-1.702530747173699,0.1822217827622319,15.923325388389584,1687.650564314948,0
2312,2.1891550385669553e-05,-7.637710504478732,1687.6456631178178,1703.5713631454048,1719.4962265407257,1735.4221979642996,1846.8893119438653,1862.801620345619,1878.7280136522156,1894.6682417843156,1910.5883577375212,1926.4970474042484,2022.0460263017687,2404.206686504927,2420.126319264334,2436.04733490854,2595.184601582997,2643.0748533989313,2658.991220545493,2754.5185168312164,2834.139386442684,2850.0845635098935,2945.6018957443457,2961.5265518023725,-3.8404903759675935,0.021483063983378885,0.29291708119384596,0.22199642272147946,0.27512762345929254,-1.717152596992303,0.17957674799675957,15.923398878625981,1687.649740238075,0
2313,2.0101183356177693e-05,-7.633197965311779,1687.6396041343155,1703.5684974593441,1719.4977250144761,1735.420771687197,1846.8902171273799,1862.8049605714982,1878.735488321789,1894.6692765536093,1910.580236646576,1926.499059202272,2022.0450771653561,2404.2032031520957,2420.12549920445,2436.0462094815366,2595.181920028012,2643.076117904412,2658.9914622473234,2754.5184509877204,2834.1451273834086,2850.0719669119662,2945.601349750809,2961.5253135312505,-3.834583028558898,0.021610347489528833,0.2542970735476617,0.2247968882651208,0.3433697482644016,-1.7019019769435992,0.18233639442293265,15.923384237169552,1687.6494259700007,0
2314,1.5410214983422747e-05,-7.636291161681527,1687.6415903531938,1703.5782921309903,1719.506134010479,1735.4210964221156,1846.889691639452,1862.8032605167284,1878.7368610575072,1894.6598961996701,1910.5831756690166,1926.4953515759807,2022.0447214312742,2404.2041254432465,2420.1261327725924,2436.044554777501,2595.1838452469688,2643.06542772193,2658.988844170591,2754.5175705609518,2834.1395588640976,2850.0745857736615,2945.602746369751,2961.5263417100123,-3.84138757392561,0.0214637980662042,0.41895808620649977,0.29368214056637276,0.26826618457295437,-1.699178688715512,0.18283362572418987,15.923340978622317,1687.6508078311226,0
2315,2.3557506065197867e-05,-7.63688866423659,1687.642338261164,1703.5643718757003,1719.4960430703413,1735.4219161772505,1846.8879832708885,1862.8026974980817,1878.7366655068931,1894.6654756287676,1910.5800192035947,1926.4980586919132,2022.0437437891098,2404.200361377094,2420.1244455573596,2436.0386201848755,2595.1786723392074,2643.071705473088,2658.985819473921,2754.525242557784,2834.1453125363573,2850.0770821646975,2945.600744439257,2961.527612624306,-3.804479497736136,0.022270786144357017,0.6430505265539832,0.2746432726267558,0.2768234582560518,-1.6938983851593075,0.18380159610797867,15.92340283577844,1687.6477315578395,0
2316,2.3629993045653287e-05,-7.641168607879582,1687.6390201865588,1703.5653273480493,1719.4958736095361,1735.4216761588912,1846.8890863210452,1862.803113804107,1878.7330481421195,1894.670741139678,1910.5779957045743,1926.5001185616818,2022.0460941687297,2404.1994701745207,2420.121975814911,2436.0380096317194,2595.1834521617884,2643.0706779490088,2658.988041224917,2754.5233594137035,2834.1416255690624,2850.0689783471894,2945.6009311857733,2961.5254179719486,-3.8033531219545873,0.02229588555153458,0.5120703071550875,0.2698035199274482,0.2041161865741492,-1.7076234186218926,0.18129614607424066,15.923374729313819,1687.6482442345862,0
2317,1.4838079087455888e-05,-7.64150335138419,1687.6435143309434,1703.5694835939582,1719.4976570721014,1735.4217419998365,1846.890008562959,1862.8015314597662,1878.7303784819642,1894.66225843898,1910.5809288412488,1926.494201127759,2022.0451127692922,2404.204699843609,2420.12042737395,2436.043940427737,2595.1835355560743,2643.0551435572033,2658.98909218637,2754.514999586382,2834.135197364637,2850.0681426186497,2945.602094760331,2961.5268480038576,-3.8776060578620024,0.020700321284063686,0.14595569367270617,0.4073632385461783,0.23664092918362134,-1.7214937730270397,0.17879886341057677,15.923336230882608,1687.6485750814206,0
2318,1.9571919353397423e-05,-7.641992810931422,1687.64175460793,1703.5741771830242,1719.49766411975,1735.4235997898047,1846.8886015744624,1862.8032851227051,1878.73737420647,1894.6677165771557,1910.5798195584325,1926.4879593699218,2022.0476834996596,2404.20483648023,2420.1284547394193,2436.0504143526528,2595.1851455468423,2643.0617133118412,2658.989603129132,2754.5206828163296,2834.139966745894,2850.0681452994486,2945.600060323374,2961.525543376524,-3.7854433462636847,0.02269879711871755,0.6997963338476287,0.1905989611616914,0.1679679890779402,-1.713081484452659,0.18030931531756594,15.92334866086795,1687.6500958320992,0
2319,1.6314764485566716e-05,-7.638523584743608,1687.641535763167,1703.5747124102566,1719.4957452759888,1735.4251990156301,1846.8869642236264,1862.806501662514,1878.7341078806594,1894.6675463148085,1910.5796779323705,1926.4924706392808,2022.0469783298167,2404.2025544877174,2420.1294063296223,2436.047829176541,2595.18238560803,2643.062903064383,2658.988527613086,2754.527128927353,2834.141446839449,2850.068324790735,2945.5992482038127,2961.528855213593,-3.7990962736784275,0.022390998049621014,0.47889287716454565,0.24661633807758165,0.07946645741945013,-1.7375021361241063,0.175959374705698,15.923362273981752,1687.6498734332204,0
