,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
1465,-1.4756298797803044e-05,-6.528209115079122,1765.6077304549103,1771.9760902545613,1778.3312006298625,1784.6974338369143,2853.748473221373,2860.1133826758223,2866.4717774268365,2872.838395828707,2879.201395522889,2885.5728028485087,2891.9287516855466,2898.287205019041,2904.653403136326,-3.081766598770854,0.045878136756986515,0.3539345382343779,0.36911251427992786,0.23651332547835757,-2.244477969832308,0.10598285218116976,6.363392385573009,1765.6080523807984,0
1466,-1.8299536080117877e-05,-6.528266227933837,1765.608322624959,1771.9748810599187,1778.3336202126377,1784.695303308257,2853.7473461003815,2860.112528303009,2866.472548665114,2872.8389370917025,2879.2025229725464,2885.5724805478544,2891.9288962289693,2898.285327230805,2904.6568710309703,-3.093005125371341,0.04536542058037482,0.3564661132337741,0.31862740379215304,0.2687641750058096,-2.2526425790796836,0.10512106646527573,6.363394185868379,1765.6079521168629,0
1467,-9.86208825829383e-06,-6.530008105605258,1765.6088742140253,1771.9753886998117,1778.3320582742938,1784.695852422307,2853.7473627813297,2860.1120555528814,2866.473634199046,2872.8388330870403,2879.2017990607,2885.5730059690486,2891.928375548485,2898.2857168780192,2904.656682808995,-3.0930743162698793,0.04536228181475056,0.29248259585781244,0.33249888708953645,0.23893399419185757,-2.2422723980201558,0.10621686294141731,6.363394101768743,1765.6079665076613,0
1468,7.905014915743287e-06,-6.546144875307235,1765.6027005989474,1771.9739547569275,1778.3305814089836,1784.7012932493083,2853.753032648192,2860.1143815109162,2866.472941594636,2872.843645639869,2879.197558609258,2885.569278675234,2891.927553512514,2898.290172623165,2904.652925338026,-3.0298521051769463,0.048322784287246255,0.6504908190745029,0.3456993733098537,0.1679268188684897,-2.2138188319268255,0.10928251906775754,6.363401650666494,1765.6070777278655,0
1469,8.312787553195396e-06,-6.546247292575257,1765.6026913908374,1771.9734117526323,1778.3306902610707,1784.7015616703125,2853.7529138576406,2860.114052664301,2866.4727005549926,2872.8438894419783,2879.197491554223,2885.569129220326,2891.9275966290484,2898.290314284314,2904.652754821384,-3.022534303687064,0.04867769783975359,0.7390124760399663,0.34419174604204295,0.1606912342328104,-2.2103110897830405,0.10966652707225669,6.363401513879133,1765.6070311277044,0
1470,2.583427763072468e-05,-6.534944855085102,1765.6065669270586,1771.9770071089138,1778.3325887208466,1784.7034412339315,2853.7459301916715,2860.1099743646,2866.476673896846,2872.8374230883433,2879.204645919412,2885.568672225456,2891.9282446737934,2898.28852407189,2904.656927900481,-2.999163900085966,0.04982871273844765,0.7520887162807959,0.4349435331102818,0.17651810024961478,-2.1771719906669813,0.11336166560309062,6.363383432422161,1765.6098010510625,0
1471,-1.3724279331007382e-05,-6.533162827077509,1765.6056085882617,1771.985205860475,1778.3322199415934,1784.6982193140086,2853.7518310469663,2860.1145475614326,2866.475285552629,2872.8366991049966,2879.1977968814704,2885.574209080171,2891.9289007692605,2898.2848825649953,2904.6540491448022,-3.0652719079107125,0.04664115804029776,0.44023353248793357,0.3083897498322634,0.2921325355632669,-2.2150342518824777,0.10914977559915023,6.363381095388539,1765.610303353982,0
1472,1.1951275953881017e-05,-6.539498735268712,1765.6073012682618,1771.9788613171406,1778.3314730283475,1784.7009951870223,2853.7468143380097,2860.112539688729,2866.477856212443,2872.8378474751307,2879.2017589883562,2885.5721809815695,2891.9279746041234,2898.287042672804,2904.6559000896377,-3.1295541960156514,0.04373729116586237,0.061635732157749756,0.46305069819466205,0.13445876340662188,-2.230156174582868,0.10751163823933986,6.3633863785161635,1765.6095908782704,0
1473,-2.1471252219584246e-05,-6.538672505232221,1765.6046969507995,1771.9832987065859,1778.3322315592702,1784.6974009599635,2853.750973110692,2860.1086691621413,2866.4751465983227,2872.838877725992,2879.2034067235713,2885.5722985544458,2891.932917338201,2898.288884641722,2904.655590701575,-3.1167822008029415,0.04429948617295499,0.02311114616133682,0.490858100872656,0.26039041093969306,-2.2644909495993897,0.1038829027166167,6.363392329021779,1765.6093169653725,0
1474,-8.231446840295762e-06,-6.534794930371006,1765.6049012139524,1771.9798783532851,1778.3323938874746,1784.6978548691116,2853.7473520244744,2860.112499607258,2866.4752479658405,2872.8382897590295,2879.2006023394756,2885.5711239693874,2891.9309529936154,2898.285031782231,2904.655321999373,-3.1041920134162937,0.04486075080449671,0.018503618881343498,0.40240597785268273,0.23075079254054542,-2.2509331602605815,0.10530091606992989,6.363389308105488,1765.6086888192094,0
1475,3.7593868401924066e-06,-6.5463633028518275,1765.6057890232125,1771.9822605616366,1778.331570267955,1784.6991553072182,2853.7471960487055,2860.112107278991,2866.4762114209107,2872.841990082287,2879.2015811044294,2885.573475735427,2891.9310737118153,2898.284099510064,2904.6562917581305,-3.0725032121411173,0.04630509817683503,0.05943533638547943,0.36693982340888365,0.17912789516464556,-2.2588243213128925,0.10447323954163436,6.363388765825662,1765.6096279261853,0
1476,9.971256089542331e-06,-6.526356322269561,1765.606860635791,1771.980268737378,1778.3331945109055,1784.7007865798846,2853.751720857814,2860.1122439141295,2866.475248785272,2872.8333141890666,2879.200850634561,2885.570789275975,2891.9281471669133,2898.2886078366655,2904.6529297048737,-3.130872754394299,0.04367965899817498,0.34212218741189887,0.4064846257195873,0.32011402322991667,-2.2253744248860055,0.10802696307818226,6.363378728322363,1765.6102456424283,0
